source,target,weight
HOOVER,HOOVER,1.0
SHOP,HOOVER,0.23503143879525434
JUMPER,HOOVER,0.5184639762255725
COOKER,HOOVER,0.45513052971512136
COFFEE,HOOVER,0.3811372050220907
JEANS,HOOVER,0.34539459871914313
RUBBISH,HOOVER,0.7467148332408831
FRIDGE,HOOVER,0.18862875340360086
SPADE,HOOVER,0.13407430191650405
BLOCK,HOOVER,0.08641756048128268
MEDICINE,HOOVER,0.06760571529713322
RADIO,HOOVER,0.030609052950618
GENTLE,HOOVER,0.030609052950618
SHOP,SHOP,1.0
JUMPER,SHOP,0.22943881494315654
COOKER,SHOP,0.17808901708485614
COFFEE,SHOP,0.11809583583880023
JEANS,SHOP,0.08911613157663689
SHOP,RUBBISH,0.41450208731420446
JUMPER,RUBBISH,0.7388220351429016
COOKER,RUBBISH,0.01627741439440178
COFFEE,RUBBISH,0.5816847143988819
JEANS,RUBBISH,0.5407860532574016
RUBBISH,RUBBISH,1.0
FRIDGE,RUBBISH,0.36140561158939044
SPADE,RUBBISH,0.29898106439664174
BLOCK,RUBBISH,0.24444951620800137
MEDICINE,RUBBISH,0.22292383106285962
RADIO,RUBBISH,0.18059009745755317
GENTLE,RUBBISH,0.18059009745755317
DRIVE,RUBBISH,0.1375387271672699
PURSE,RUBBISH,0.1375387271672699
DISH,RUBBISH,0.1117078246306491
BROKEN,RUBBISH,0.07511438088064804
POLICE,RUBBISH,0.07511438088064804
CAREFUL,RUBBISH,0.07511438088064804
PIZZA,RUBBISH,0.07009172771031902
CHURCH,RUBBISH,0.05143598658670334
BROOM,RUBBISH,0.05143598658670334
GLASSES,RUBBISH,0.033498083054190886
SOFA,RUBBISH,0.029192865662712064
DEER,RUBBISH,0.029192865662712064
NECKLACE,RUBBISH,0.01627741439440178
HAMMER,RUBBISH,0.01627741439440178
EMPTY,RUBBISH,0.002644527347241521
JUMPER,JUMPER,1.0
COOKER,JUMPER,0.4485486440945956
COFFEE,JUMPER,0.37488781904144064
JEANS,JUMPER,0.33930593763994366
FRIDGE,JUMPER,0.18324487101726206
BLOCK,JUMPER,0.08149315040696536
GENTLE,JUMPER,0.025935373722563604
JUMPER,SPADE,0.12893552500487693
COOKER,SPADE,0.08175272112280818
COFFEE,SPADE,0.026628098047815296
JEANS,SPADE,0.0
JUMPER,MEDICINE,0.06276568579607744
COOKER,MEDICINE,0.018326255075642228
JUMPER,RADIO,0.025935373722563604
COOKER,COOKER,1.0
COFFEE,COOKER,0.31750722106846285
BLOCK,COOKER,0.03627721750639745
COOKER,JEANS,0.28340059335615475
COFFEE,JEANS,0.21808560971694546
JEANS,JEANS,1.0
FRIDGE,JEANS,0.048155993160351906
COOKER,FRIDGE,0.13381011035974444
COFFEE,FRIDGE,0.07605482246026041
COFFEE,COFFEE,1.0
AEROPLANE,AEROPLANE,0.0
AGAIN,AGAIN,0.0
ALL,ALL,0.0
ALL GONE,ALL GONE,0.0
ANIMAL,ANIMAL,0.0
ANOTHER,ANOTHER,0.0
APPLE,APPLE,0.0
ARM,ARM,0.0
ASLEEP,ASLEEP,0.0
AUNT,AUNT,0.0
AWAY,AWAY,0.0
BAA BAA,BAA BAA,0.0
BABY,BABY,0.0
BABYSITTER,BABYSITTER,0.0
BACK (PLACE),BACK (PLACE),0.0
BAD,BAD,0.0
BALL,BALL,0.0
BALLOON,BALLOON,0.0
BANANA,BANANA,0.0
BASKET,BASKET,0.0
BATH,BATH,0.0
BATH (FURNITURE),BATH (FURNITURE),0.0
BATHROOM,BATHROOM,0.0
BEACH,BEACH,0.0
BEAR,BEAR,0.0
BED,BED,0.0
BEDROOM,BEDROOM,0.0
BEE,BEE,0.0
BELLY BUTTON,BELLY BUTTON,0.0
BIB,BIB,0.0
BICYCLE,BICYCLE,0.0
BIG,BIG,0.0
BIRD,BIRD,0.0
BISCUIT,BISCUIT,0.0
BITE,BITE,0.0
BLANKET,BLANKET,0.0
BLOW,BLOW,0.0
BLUE,BLUE,0.0
BOAT,BOAT,0.0
BOOK,BOOK,0.0
BOOTS,BOOTS,0.0
BOTTLE,BOTTLE,0.0
BOWL,BOWL,0.0
BOX,BOX,0.0
BOY,BOY,0.0
BREAD,BREAD,0.0
BREAK,BREAK,0.0
BREAKFAST,BREAKFAST,0.0
BRING,BRING,0.0
BROTHER,BROTHER,0.0
BRUSH (OBJECT),BRUSH (OBJECT),0.0
BUBBLES,BUBBLES,0.0
BUCKET,BUCKET,0.0
BUMP,BUMP,0.0
BUS,BUS,0.0
BUTTER,BUTTER,0.0
BUTTERFLY,BUTTERFLY,0.0
BUTTON,BUTTON,0.0
BYE BYE,BYE BYE,0.0
CAKE,CAKE,0.0
CALL,CALL,0.0
CAR,CAR,0.0
CARROTS,CARROTS,0.0
CARRY,CARRY,0.0
CAT,CAT,0.0
CATCH,CATCH,0.0
CEREAL,CEREAL,0.0
CHAIR,CHAIR,0.0
CHASE,CHASE,0.0
CHEEK,CHEEK,0.0
CHEESE,CHEESE,0.0
CHICKEN,CHICKEN,0.0
CHICKEN (ANIMAL),CHICKEN (ANIMAL),0.0
CHILD,CHILD,0.0
CHIPS,CHIPS,0.0
CHOO CHOO,CHOO CHOO,0.0
CLEAN,CLEAN,0.0
CLEAN (ACTION),CLEAN (ACTION),0.0
CLOCK,CLOCK,0.0
CLOSE,CLOSE,0.0
COAT,COAT,0.0
COCKADOODLEDOO,COCKADOODLEDOO,0.0
COLD,COLD,0.0
COMB (OBJECT),COMB (OBJECT),0.0
COT,COT,0.0
COW,COW,0.0
CRY,CRY,0.0
CUDDLE,CUDDLE,0.0
CUP,CUP,0.0
CUT,CUT,0.0
DADDY,DADDY,0.0
DANCE,DANCE,0.0
DARK,DARK,0.0
DAY,DAY,0.0
DINNER,DINNER,0.0
DIRTY,DIRTY,0.0
DOCTOR,DOCTOR,0.0
DOG,DOG,0.0
DOLL,DOLL,0.0
DON'T,DON'T,0.0
DONKEY,DONKEY,0.0
DOOR,DOOR,0.0
DOWN,DOWN,0.0
DRAW,DRAW,0.0
DRAWER,DRAWER,0.0
DRESS (OBJECT),DRESS (OBJECT),0.0
DRINK,DRINK,0.0
DRINK (ACTION),DRINK (ACTION),0.0
DROP,DROP,0.0
DRY (DESCRIPTION),DRY (DESCRIPTION),0.0
DUCK,DUCK,0.0
DUMMY,DUMMY,0.0
EAR,EAR,0.0
EAT,EAT,0.0
EGG,EGG,0.0
ELEPHANT,ELEPHANT,0.0
EYE,EYE,0.0
FACE,FACE,0.0
FALL,FALL,0.0
FAST,FAST,0.0
FEED,FEED,0.0
FIND,FIND,0.0
FINE,FINE,0.0
FINGER,FINGER,0.0
FINISH,FINISH,0.0
FIRE ENGINE,FIRE ENGINE,0.0
FISH,FISH,0.0
FISH (FOOD),FISH (FOOD),0.0
FLOWER,FLOWER,0.0
FOOD,FOOD,0.0
FOOT,FOOT,0.0
FORK,FORK,0.0
FRIEND,FRIEND,0.0
FROG,FROG,0.0
GARAGE,GARAGE,0.0
GARDEN,GARDEN,0.0
GET,GET,0.0
GIRAFFE,GIRAFFE,0.0
GIRL,GIRL,0.0
GIVE,GIVE,0.0
GLASS,GLASS,0.0
GO,GO,0.0
GOOD,GOOD,0.0
GOODNIGHT,GOODNIGHT,0.0
GOOSE,GOOSE,0.0
GRANDMA,GRANDMA,0.0
GRANDPA,GRANDPA,0.0
GREEN,GREEN,0.0
GRR,GRR,0.0
HAIR,HAIR,0.0
HAND,HAND,0.0
HAPPY,HAPPY,0.0
HARD,HARD,0.0
HAT,HAT,0.0
HAVE,HAVE,0.0
HEAD,HEAD,0.0
HEAR,HEAR,0.0
HELLO,HELLO,0.0
HELP,HELP,0.0
HER,HER,0.0
HI,HI,0.0
HIGH CHAIR,HIGH CHAIR,0.0
HIS,HIS,0.0
HIT,HIT,0.0
HORSE,HORSE,0.0
HOT,HOT,0.0
HOUSE,HOUSE,0.0
HOW,HOW,0.0
HUG,HUG,0.0
HUNGRY,HUNGRY,0.0
HURRY,HURRY,0.0
HURT,HURT,0.0
I,I,0.0
ICE CREAM,ICE CREAM,0.0
IN,IN,0.0
INSIDE,INSIDE,0.0
IT,IT,0.0
JACKET,JACKET,0.0
JAM,JAM,0.0
JUG,JUG,0.0
JUICE,JUICE,0.0
JUMP,JUMP,0.0
KEY,KEY,0.0
KICK,KICK,0.0
KISS,KISS,0.0
KITCHEN,KITCHEN,0.0
KITTEN,KITTEN,0.0
KNEE,KNEE,0.0
KNOW,KNOW,0.0
LADY,LADY,0.0
LAMB,LAMB,0.0
LAMP,LAMP,0.0
LATER,LATER,0.0
LEG,LEG,0.0
LIGHT (OBJECT),LIGHT (OBJECT),0.0
LIKE,LIKE,0.0
LION,LION,0.0
LITTLE (DESCRIPTION),LITTLE (DESCRIPTION),0.0
LIVING ROOM,LIVING ROOM,0.0
LOOK,LOOK,0.0
LORRY,LORRY,0.0
LOVE,LOVE,0.0
LUNCH,LUNCH,0.0
MAKE,MAKE,0.0
MAN,MAN,0.0
ME,ME,0.0
MEAT,MEAT,0.0
MEOW,MEOW,0.0
MILK,MILK,0.0
MINE,MINE,0.0
MONEY,MONEY,0.0
MONKEY,MONKEY,0.0
MOO,MOO,0.0
MOON,MOON,0.0
MORE,MORE,0.0
MORNING,MORNING,0.0
MOTORCYCLE,MOTORCYCLE,0.0
MOUSE,MOUSE,0.0
MOUTH,MOUTH,0.0
MUG,MUG,0.0
MUMMY,MUMMY,0.0
MY,MY,0.0
NAIL (BODY PART),NAIL (BODY PART),0.0
NAP,NAP,0.0
NAPPY,NAPPY,0.0
NASTY,NASTY,0.0
NAUGHTY,NAUGHTY,0.0
NICE,NICE,0.0
NIGHT,NIGHT,0.0
NO,NO,0.0
NONE,NONE,0.0
NOSE,NOSE,0.0
NOT,NOT,0.0
NOW,NOW,0.0
OFF,OFF,0.0
