source,target,weight
TICKLE,TICKLE,1.0
HAPPY,TICKLE,0.1396608322647963
FOOD,TICKLE,0.0851065446864463
LOVE,TICKLE,0.464568674076123
LION,TICKLE,0.08295667030079246
FRIEND,TICKLE,0.09934983750437754
KISS,TICKLE,0.42506370720426934
MONEY,TICKLE,0.03888314535682924
NAUGHTY,TICKLE,0.056619959050583146
PARTY,TICKLE,0.22135805898884087
CUDDLE,TICKLE,0.056619959050583146
PLAY,TICKLE,0.11036821874036828
PRETTY,TICKLE,0.05554492185429605
PUPPY,TICKLE,0.08295667030079246
SMILE,TICKLE,0.19824645932749263
SNOW,TICKLE,0.056619959050583146
STAR,TICKLE,0.04882648939653311
SWEETS,TICKLE,0.06414461940383132
DANCE,TICKLE,0.0015280528706291818
HAPPY,HAPPY,1.0
FOOD,HAPPY,0.15308289666822472
FRIEND,HAPPY,0.16821842035734424
CUDDLE,HAPPY,0.12281204929690559
DANCE,HAPPY,0.06426902370822019
FAST,HAPPY,0.0574151865654553
HAPPY,LOVE,0.5563148484937579
FOOD,LOVE,0.4818168708637318
LOVE,LOVE,1.0
LION,LOVE,0.478880969281537
FRIEND,LOVE,0.501267143843177
KISS,LOVE,0.946053133438417
CUDDLE,LOVE,0.44291652491176214
DANCE,LOVE,0.3676845218844573
FAST,LOVE,0.3588768171378731
HUG,LOVE,0.34566536002145676
BEACH,LOVE,0.27336925857634675
DOG,LOVE,0.26602960462432
FINISH,LOVE,0.24364363006960033
CAKE,LOVE,0.19043078890529608
EAT,LOVE,0.17024649052857233
GOOD,LOVE,0.15813607150807418
BUTTERFLY,LOVE,0.12914426839168613
GARDEN,LOVE,0.11189587159715741
KICK,LOVE,0.10565705573412831
DINNER,LOVE,0.06749073517943716
LIKE,LOVE,0.028590189220547124
COFFEE,LOVE,0.02345241145343624
HAPPY,KISS,0.5143353960047017
FOOD,KISS,0.4418468879023214
FRIEND,KISS,0.4607723427230581
KISS,KISS,1.0
CUDDLE,KISS,0.4039955782470075
DANCE,KISS,0.330792845432452
FAST,KISS,0.3222227489071121
HUG,KISS,0.30936770412256265
BEACH,KISS,0.239021470142867
DOG,KISS,0.23187982304187726
FINISH,KISS,0.21009746937244023
CAKE,KISS,0.15831987786777435
EAT,KISS,0.13868019833486245
GOOD,KISS,0.12689639061511526
BUTTERFLY,KISS,0.09868641454994354
GARDEN,KISS,0.08190343385881138
KICK,KISS,0.07583302382262436
DINNER,KISS,0.03869593887948519
HAPPY,PARTY,0.2978695062849175
FOOD,PARTY,0.23574235668554122
LOVE,PARTY,0.6678785085963974
LION,PARTY,0.23329387196797002
FRIEND,PARTY,0.25196271791003966
KISS,PARTY,0.6228897519854188
MONEY,PARTY,0.18310253534772314
NAUGHTY,PARTY,0.20330143422962443
PARTY,PARTY,1.0
CUDDLE,PARTY,0.20330143422962443
DANCE,PARTY,0.1405620634473952
FAST,PARTY,0.13321700930852187
HUG,PARTY,0.12219942810021212
BEACH,PARTY,0.061908542035554515
DOG,PARTY,0.05578753024854666
FINISH,PARTY,0.03711868430647702
MOUTH,PARTY,0.07017162793832665
HAPPY,SMILE,0.2733100565279558
FOOD,SMILE,0.21235834759882688
LOVE,SMILE,0.6363176165895339
LION,SMILE,0.2099562644867512
FRIEND,SMILE,0.2282718982076779
KISS,SMILE,0.5921802894380144
MONEY,SMILE,0.16071456072380097
NAUGHTY,SMILE,0.18053144638804497
PARTY,SMILE,0.36458741472454936
CUDDLE,SMILE,0.18053144638804497
PLAY,SMILE,0.24058232414841552
PRETTY,SMILE,0.17933040483200702
PUPPY,SMILE,0.2099562644867512
SMILE,SMILE,1.0
DANCE,SMILE,0.11897931668435713
FAST,SMILE,0.11177306734813008
HUG,SMILE,0.10096389335070977
BEACH,SMILE,0.04181384675909783
DOG,SMILE,0.03580883898582887
FINISH,SMILE,0.017493205264902167
SING,SMILE,0.10426680763154406
RUN,SMILE,0.07754408302527271
MOUTH,SMILE,0.04992072725716312
PIZZA,SMILE,0.048119264926566485
RED,SMILE,0.0006790234942128937
HAPPY,PLAY,0.17992702547508155
FOOD,PLAY,0.1234452712063836
LOVE,PLAY,0.5163134644458698
LION,PLAY,0.12121939419103889
FRIEND,PLAY,0.13819158142871735
KISS,PLAY,0.47541284928458527
MONEY,PLAY,0.07558881537301199
NAUGHTY,PLAY,0.09395225074787583
PARTY,PLAY,0.26451055206510143
CUDDLE,PLAY,0.09395225074787583
PLAY,PLAY,1.0
DANCE,PLAY,0.036914077227072184
FAST,PLAY,0.030236446181037824
HUG,PLAY,0.020219899608526548
HAPPY,PUPPY,0.15079841762524993
FOOD,PUPPY,0.09571091159754141
LOVE,PUPPY,0.478880969281537
LION,PUPPY,0.09353983647834219
FRIEND,PUPPY,0.11009320922503929
KISS,PUPPY,0.43899018906054166
MONEY,PUPPY,0.04903569663510354
NAUGHTY,PUPPY,0.06694591632870495
PARTY,PUPPY,0.23329387196797002
CUDDLE,PUPPY,0.06694591632870495
PLAY,PUPPY,0.12121939419103889
PRETTY,PUPPY,0.06586047877256562
PUPPY,PUPPY,1.0
DANCE,PUPPY,0.011315591519466706
FAST,PUPPY,0.004802966182629875
HAPPY,LION,0.15079841762524993
FOOD,LION,0.09571091159754141
LION,LION,1.0
FRIEND,LION,0.11009320922503929
KISS,LION,0.43899018906054166
CUDDLE,LION,0.06694591632870495
DANCE,LION,0.011315591519466706
FAST,LION,0.004802966182629875
HAPPY,SWEETS,0.1308081259611582
FOOD,SWEETS,0.07667745303987505
LOVE,SWEETS,0.45319208044598347
LION,SWEETS,0.07454417922860146
FRIEND,SWEETS,0.09081014203091442
KISS,SWEETS,0.4139941241966971
MONEY,SWEETS,0.03081306613208823
NAUGHTY,SWEETS,0.04841207505779699
PARTY,SWEETS,0.21187073072728313
CUDDLE,SWEETS,0.04841207505779699
PLAY,SWEETS,0.10174292030504262
PRETTY,SWEETS,0.04734563815908044
PUPPY,SWEETS,0.07454417922860146
SMILE,SWEETS,0.18893853727338983
SNOW,SWEETS,0.04841207505779699
STAR,SWEETS,0.04067920750057952
SWEETS,SWEETS,1.0
HAPPY,SNOW,0.12281204929690559
FOOD,SNOW,0.06906398961404059
LOVE,SNOW,0.44291652491176214
LION,SNOW,0.06694591632870495
FRIEND,SNOW,0.08309667514496
KISS,SNOW,0.4039955782470075
MONEY,SNOW,0.023524013930882104
NAUGHTY,SNOW,0.04099861855220199
PARTY,SNOW,0.20330143422962443
CUDDLE,SNOW,0.04099861855220199
PLAY,SNOW,0.09395225074787583
PRETTY,SNOW,0.03993958190953406
PUPPY,SNOW,0.06694591632870495
SMILE,SNOW,0.18053144638804497
SNOW,SNOW,1.0
HAPPY,NAUGHTY,0.12281204929690559
FOOD,NAUGHTY,0.06906398961404059
LOVE,NAUGHTY,0.44291652491176214
LION,NAUGHTY,0.06694591632870495
FRIEND,NAUGHTY,0.08309667514496
KISS,NAUGHTY,0.4039955782470075
MONEY,NAUGHTY,0.023524013930882104
NAUGHTY,NAUGHTY,1.0
CUDDLE,NAUGHTY,0.04099861855220199
HAPPY,PRETTY,0.12166960976849794
FOOD,PRETTY,0.06797635198177843
LOVE,PRETTY,0.44144847411720445
LION,PRETTY,0.06586047877256562
FRIEND,PRETTY,0.08199483702136101
KISS,PRETTY,0.40256732882957746
MONEY,PRETTY,0.02248257789719532
NAUGHTY,PRETTY,0.03993958190953406
PARTY,PRETTY,0.20207719187083883
CUDDLE,PRETTY,0.03993958190953406
PLAY,PRETTY,0.09283941224366354
PRETTY,PRETTY,1.0
HAPPY,STAR,0.11453036275055117
FOOD,STAR,0.06117871678360065
LOVE,STAR,0.4322739566789011
LION,STAR,0.05907624403804368
FRIEND,STAR,0.07510799873675622
KISS,STAR,0.3936400199446901
MONEY,STAR,0.015974552719524082
NAUGHTY,STAR,0.03332035288420987
PARTY,STAR,0.1944261271439991
CUDDLE,STAR,0.03332035288420987
