source,target,weight
DADDY,DADDY,1.0
CHURCH,DADDY,0.17404021806115977
CAT,DADDY,0.10391930848424602
BYE BYE,DADDY,0.31840676128099443
BABY,DADDY,0.26733828201479803
CRY,DADDY,0.19363285752629067
BIRD,DADDY,0.1520963978117027
CALL,DADDY,0.42482556288132645
ANIMAL,DADDY,0.07825406963233972
CAR,DADDY,0.06083847906404327
CHILD,DADDY,0.022524059722834222
BUS,DADDY,0.021424226709309657
BEAR,DADDY,0.021424226709309657
DADDY,SING,0.5267071279787312
NO,SING,0.7319908098393724
DOG,SING,0.689055690780197
OWL,SING,0.6166026148204651
HEAR,SING,0.8916557400575196
LION,SING,0.5924515227833562
CHURCH,SING,0.5381117658514558
HAMMER,SING,0.4462742080852038
DONKEY,SING,0.4765265211871472
GIRL,SING,0.4354698248453379
HELLO,SING,0.5441495388607331
PARTY,SING,0.713206582665711
MAN,SING,0.4958473547865152
QUACK,SING,0.9064147185077978
SING,SING,1.0
SAY,SING,0.59969681036417
PEOPLE,SING,0.5267071279787312
CAT,SING,0.4462742080852038
ME,SING,0.6296571022892741
BYE BYE,SING,0.727188772776501
BABY,SING,0.6603043144877931
PHONE,SING,0.6016518911423514
OUTSIDE,SING,0.46788297456493555
MEOW,SING,0.9486791295727384
MOO,SING,0.969207477743643
FIRE ENGINE,SING,0.5894326362787177
KITTEN,SING,0.42466544160547204
CRY,SING,0.5637722010650867
HI,SING,0.42466544160547204
SHEEP,SING,0.42466544160547204
BIRD,SING,0.5093719983515514
PERSON,SING,0.5661049679026897
CALL,SING,0.8665655367375251
GRANDMA,SING,0.5441495388607331
GOOSE,SING,0.4462742080852038
RADIO,SING,0.9372744917000135
MOTORCYCLE,SING,0.46113026005896884
POLICE,SING,0.4126605490998885
ANIMAL,SING,0.4126605490998885
PUPPY,SING,0.3944131285035286
CAR,SING,0.3898512733544386
RAIN,SING,0.3841489544180763
HAPPY,SING,0.3768174014998962
ELEPHANT,SING,0.3738847803326242
DUCK,SING,0.3598389420146819
PLAY,SING,0.35848851920444536
HORSE,SING,0.35094120286705155
CHILD,SING,0.3396708667144497
BUS,SING,0.33823017553495016
BEAR,SING,0.33823017553495016
DOCTOR,SING,0.30263921894442847
SHOW,SING,0.2849284047737757
AEROPLANE,SING,0.27580469447559586
BROTHER,SING,0.2734038760957549
MUMMY,SING,0.27124283932650584
FRIEND,SING,0.2517949094644285
BABYSITTER,SING,0.23018614298469653
CHICKEN,SING,0.208577376504965
LAMB,SING,0.20603525109918253
HELP,SING,0.19860402268678312
HER,SING,0.16797902731528858
PLEASE,SING,0.16535984354550126
MONKEY,SING,0.15198291185744073
LADY,SING,0.14565752100641016
BEE,SING,0.13894904000289832
EAR,SING,0.13894904000289832
HOOVER,SING,0.12754440213017348
COW,SING,0.12754440213017348
PIG,SING,0.12754440213017348
MOUSE,SING,0.12491240865831799
NASTY,SING,0.10523090188508788
SAME,SING,0.09333028836040436
BAD,SING,0.08648750563676932
GOODNIGHT,SING,0.08527999106523287
GRANDPA,SING,0.07892457747497961
CLOCK,SING,0.057315610843653
SCHOOL,SING,0.04771173686950503
GOOD,SING,0.03697800714260979
CLOSE,SING,0.03570684436392124
FALL,SING,0.024902461124055586
BEACH,SING,0.002093185378605922
DADDY,MOO,0.5031959205902552
DOG,MOO,0.6630467916399883
HEAR,MOO,0.8625300802828062
LION,MOO,0.5679289493862651
CHURCH,MOO,0.5144250255143246
HAMMER,MOO,0.42400053800748694
DONKEY,MOO,0.4537874986514787
GIRL,MOO,0.4133624807429146
HELLO,MOO,0.5203699281836063
MAN,MOO,0.47281110713254226
CAT,MOO,0.42400053800748694
ME,MOO,0.6045620953310038
BYE BYE,MOO,0.7005932293118808
BABY,MOO,0.6347379505237267
MEOW,MOO,0.9186760052063434
MOO,MOO,1.0
FIRE ENGINE,MOO,0.5649564980516244
KITTEN,MOO,0.40272422332674784
CRY,MOO,0.5396907617829745
HI,MOO,0.40272422332674784
BIRD,MOO,0.4861275930389677
CALL,MOO,0.8378259693892154
GRANDMA,MOO,0.5203699281836063
GOOSE,MOO,0.42400053800748694
ANIMAL,MOO,0.390904070743181
CAR,MOO,0.3684456607434472
HAPPY,MOO,0.35561234078691206
ELEPHANT,MOO,0.3527247537284741
DUCK,MOO,0.33889507913293526
HORSE,MOO,0.3301342436761605
CHILD,MOO,0.3190372388046707
BUS,MOO,0.31761876445219617
BEAR,MOO,0.31761876445219617
DOCTOR,MOO,0.28257522247350164
AEROPLANE,MOO,0.25615361074477816
BROTHER,MOO,0.2537896202583838
MUMMY,MOO,0.2516620088054693
FRIEND,MOO,0.2325133055776447
BABYSITTER,MOO,0.2112369908969054
CHICKEN,MOO,0.18996047606457145
LAMB,MOO,0.18745738021977854
HELP,MOO,0.18014063851961493
HER,MOO,0.1499868000023219
MONKEY,MOO,0.1342366708545053
LADY,MOO,0.1280087538301511
BEE,MOO,0.12140335089797039
EAR,MOO,0.12140335089797039
HOOVER,MOO,0.11017424597390058
COW,MOO,0.11017424597390058
BAD,MOO,0.06974902791374205
GOODNIGHT,MOO,0.06856012744052364
GRANDPA,MOO,0.06230238782854136
CLOCK,MOO,0.04102607314780227
GOOD,MOO,0.021001106237864775
CLOSE,MOO,0.019749558315468096
FALL,MOO,0.009111501050896198
DADDY,MEOW,0.4875218490484694
DOG,MEOW,0.6457076589809123
HEAR,MEOW,0.8431129737663308
LION,MEOW,0.5515805671215379
CHURCH,MEOW,0.4986340654411652
HAMMER,MEOW,0.40915149133954065
DONKEY,MEOW,0.4386280168599699
GIRL,MEOW,0.3986241179069028
HELLO,MEOW,0.5045169211160534
MAN,MEOW,0.45745347526216373
CAT,MEOW,0.40915149133954065
ME,MEOW,0.5878322241265534
BYE BYE,MEOW,0.6828630004365306
BABY,MEOW,0.6176936411638176
MEOW,MEOW,1.0
FIRE ENGINE,MEOW,0.5486391392840937
KITTEN,MEOW,0.3880967444742647
CRY,MEOW,0.5236366023626295
HI,MEOW,0.3880967444742647
BIRD,MEOW,0.4706312561133803
CALL,MEOW,0.8186660576720808
GRANDMA,MEOW,0.5045169211160534
GOOSE,MEOW,0.40915149133954065
ANIMAL,MEOW,0.37639968512151123
CAR,MEOW,0.35417525233611946
HAPPY,MEOW,0.3414754334933279
ELEPHANT,MEOW,0.33861806932570726
DUCK,MEOW,0.32493250387843764
HORSE,MEOW,0.31626293754889967
CHILD,MEOW,0.30528142014761994
BUS,MEOW,0.3038777570131619
BEAR,MEOW,0.3038777570131619
DOCTOR,MEOW,0.26919929154341515
AEROPLANE,MEOW,0.24305288825756644
BROTHER,MEOW,0.24071351641733463
FRIEND,MEOW,0.21965876955205865
BABYSITTER,MEOW,0.19860402268678312
CHICKEN,MEOW,0.17754927582150715
LAMB,MEOW,0.1750723998356356
HELP,MEOW,0.16783171574150257
HER,MEOW,0.137991915076479
LADY,MEOW,0.11624284232878002
BEE,MEOW,0.1097062915452165
EAR,MEOW,0.1097062915452165
HOOVER,MEOW,0.0985940751525205
COW,MEOW,0.0985940751525205
BAD,MEOW,0.05858997604785876
GOODNIGHT,MEOW,0.05741348497351906
GRANDPA,MEOW,0.051220994781447704
CLOCK,MEOW,0.03016624791617173
GOOD,MEOW,0.010350039119629395
CLOSE,MEOW,0.009111501050896198
DADDY,RADIO,0.4788140537643213
NO,RADIO,0.6776642629127301
DOG,RADIO,0.6360747630255155
OWL,RADIO,0.5658922067573982
HEAR,RADIO,0.8323256034120243
LION,RADIO,0.5424980880518906
CHURCH,RADIO,0.4898612208887012
HAMMER,RADIO,0.4009018430559306
DONKEY,RADIO,0.4302062382048164
GIRL,RADIO,0.3904361163144967
HELLO,RADIO,0.49570985064087547
PARTY,RADIO,0.6594688817310232
MAN,RADIO,0.4489214130782655
QUACK,RADIO,0.8466220315266784
PEOPLE,RADIO,0.4788140537643213
CAT,RADIO,0.4009018430559306
ME,RADIO,0.578537784517994
BYE BYE,RADIO,0.6730129400007567
