source,target,weight
AEROPLANE,AEROPLANE,1.0
AEROPLANE,GIRAFFE,0.517469209787432
EYE,GIRAFFE,0.0349384195748641
ELEPHANT,GIRAFFE,0.9508102218942973
EAR,GIRAFFE,0.861799882258806
DUCK,GIRAFFE,0.2012472999095234
DOOR,GIRAFFE,0.35350291181318205
DONKEY,GIRAFFE,0.2410678614393138
DOG,GIRAFFE,0.8149515736477841
DEER,GIRAFFE,0.42611628779152966
CUP,GIRAFFE,0.0349384195748641
COW,GIRAFFE,0.861799882258806
SOFA,GIRAFFE,0.6392734767372126
FINGER,GIRAFFE,0.2012472999095234
FISH,GIRAFFE,0.42611628779152966
FLOWER,GIRAFFE,0.40035010755847367
GIRAFFE,GIRAFFE,1.0
FROG,GIRAFFE,0.6861206724825024
FRIDGE,GIRAFFE,0.6697237088253587
FORK,GIRAFFE,0.26917662403278086
FOOT,GIRAFFE,0.15674268652464285
COOKER,GIRAFFE,0.4495398856641746
COAT,GIRAFFE,0.32773673158012606
BOOK,GIRAFFE,0.7212560692914707
BOAT,GIRAFFE,0.5408928076600787
BIRD,GIRAFFE,0.3464751647319506
BICYCLE,GIRAFFE,0.7798161768388159
BEE,GIRAFFE,0.8407177538808401
BED,GIRAFFE,0.40269268991888296
BEACH,GIRAFFE,0.07241639874424344
BATHROOM,GIRAFFE,0.47062201404214044
BATH,GIRAFFE,0.23638380958422367
BANANA,GIRAFFE,0.26917662403278086
BALL,GIRAFFE,0.26917662403278086
BABY,GIRAFFE,0.2855735876899246
ARM,GIRAFFE,0.5666589878931347
BOWL,GIRAFFE,0.1426883052279102
CAR,GIRAFFE,0.8711690988347183
CHEESE,GIRAFFE,0.5127840450666117
CHAIR,GIRAFFE,0.4495398856641746
CAT,GIRAFFE,0.14737346994873057
CARROTS,GIRAFFE,0.9929733657844988
CAKE,GIRAFFE,0.8055823570718719
BREAD,GIRAFFE,0.8032397747114626
BUS,GIRAFFE,0.9297280935163332
RABBIT,GIRAFFE,0.33710594815603656
APPLE,GIRAFFE,0.7938705581355485
AEROPLANE,CARROTS,0.5107463879160594
BOOK,CARROTS,0.7144052678612169
BOAT,CARROTS,0.5341555185342237
BIRD,CARROTS,0.3398614037020593
BICYCLE,CARROTS,0.7729275379737608
BEE,CARROTS,0.8337912775809855
BED,CARROTS,0.3960422043199223
BEACH,CARROTS,0.06597513190241067
BATHROOM,CARROTS,0.46392923954546106
BATH,CARROTS,0.2298379333638252
BANANA,CARROTS,0.2626107162292559
BALL,CARROTS,0.2626107162292559
BABY,CARROTS,0.2789976640948346
ARM,CARROTS,0.5599061186470671
BOWL,CARROTS,0.13620252375690178
CAR,CARROTS,0.8642237038174638
CARROTS,CARROTS,1.0
CAKE,CARROTS,0.7986781380866059
BREAD,CARROTS,0.7963366685919251
BUS,CARROTS,0.9227459739300077
RABBIT,CARROTS,0.33049775145479465
APPLE,CARROTS,0.7869730163446587
AEROPLANE,ELEPHANT,0.47041168241928233
ELEPHANT,ELEPHANT,1.0
EAR,ELEPHANT,0.8132199545728209
DUCK,ELEPHANT,0.15558864476324352
DOOR,ELEPHANT,0.3071698600348771
DONKEY,ELEPHANT,0.195232260642058
