source,target,weight
BOOK,BOOK,1.0
BIRD,BOOK,0.10904749856762108
BICYCLE,BOOK,0.05260124634853902
BOOK,HAPPY,0.47009706498095705
DOG,HAPPY,0.5676139662097508
CALL,HAPPY,0.4852767027627545
DRAW,HAPPY,0.5745138015651132
CAR,HAPPY,0.6320118682219853
DINNER,HAPPY,0.3868399638127
DANCE,HAPPY,0.41443888425578823
COAT,HAPPY,0.38453994853118534
CLEAN,HAPPY,0.4967763581919653
DRIVE,HAPPY,0.49953629233411023
HAPPY,HAPPY,1.0
FOOD,HAPPY,0.7350486377350691
GARDEN,HAPPY,0.41443888425578823
BIRD,HAPPY,0.5174756537688718
BICYCLE,HAPPY,0.4420380151880574
FINISH,HAPPY,0.7189491622320103
GOOD,HAPPY,0.5855533276445124
FAST,HAPPY,0.6320118682219853
EYE,HAPPY,0.48251676862060955
GIVE,HAPPY,0.3725803742413445
COFFEE,HAPPY,0.36430057181490927
FRIEND,HAPPY,0.3587807035306192
ARM,HAPPY,0.3523409975250682
HAND,HAPPY,0.3344016360903066
BLOW,HAPPY,0.30772234287929834
FRIDGE,HAPPY,0.30772234287929834
EAT,HAPPY,0.3031225228054504
BATH,HAPPY,0.29806278387097196
FORK,HAPPY,0.28656312844176113
CATCH,HAPPY,0.2838031942996162
BALL,HAPPY,0.26954360472826044
BISCUIT,HAPPY,0.2667836705861155
BREAKFAST,HAPPY,0.2667836705861155
BEACH,HAPPY,0.2635638175833399
HAMMER,HAPPY,0.25896399750949195
BUTTON,HAPPY,0.2534441292252019
FOOT,HAPPY,0.2502242762224265
FISH,HAPPY,0.24746434208028134
CHIPS,HAPPY,0.24148455493536103
CHAIR,HAPPY,0.2332047525089258
CARRY,HAPPY,0.22630512764274435
BUTTERFLY,HAPPY,0.21986521114801216
ANIMAL,HAPPY,0.2194052922873817
APPLE,HAPPY,0.2194052922873817
GREEN,HAPPY,0.2184852440769398
GIRL,HAPPY,0.2120455380713886
BOAT,HAPPY,0.2079056368581711
AEROPLANE,HAPPY,0.20560583206583782
BED,HAPPY,0.19916591557110563
BROTHER,HAPPY,0.19916591557110563
EGG,HAPPY,0.19916591557110563
ALL,HAPPY,0.18904622721296738
HAIR,HAPPY,0.18030650592590192
FACE,HAPPY,0.177546571783757
BALLOON,HAPPY,0.1688068504966913
DISH,HAPPY,0.1688068504966913
ELEPHANT,HAPPY,0.16374711156221267
SOFA,HAPPY,0.15454747141451675
DONKEY,HAPPY,0.1540873420647051
CARROTS,HAPPY,0.1540873420647051
BATHROOM,HAPPY,0.14534762077763963
BOWL,HAPPY,0.14534762077763963
BLUE,HAPPY,0.1402878818431612
FROG,HAPPY,0.1402878818431612
COOKER,HAPPY,0.1278681782035085
GIRAFFE,HAPPY,0.1278681782035085
BEE,HAPPY,0.125568373411175
BUTTER,HAPPY,0.11912845691644303
GOOSE,HAPPY,0.11452863684259484
FLOWER,HAPPY,0.10762901197641339
GENTLE,HAPPY,0.10440894848445681
BOY,HAPPY,0.10164901434231188
BANANA,HAPPY,0.0970491942684637
BASKET,HAPPY,0.0749699316204846
CHEESE,HAPPY,0.07313004568878156
CHEEK,HAPPY,0.07037011154663664
DOOR,HAPPY,0.06807009626512195
DEER,HAPPY,0.06807009626512195
RABBIT,HAPPY,0.06393040554108542
CUP,HAPPY,0.06393040554108542
GLASS,HAPPY,0.05565060311465042
