source,target,weight
AEROPLANE,AEROPLANE,1.0
EMPTY,EMPTY,1.0
FORK,FORK,1.0
FORK,FRIDGE,0.04050383663536117
FOOT,FRIDGE,0.431337261041179
FOOD,FRIDGE,0.9296499362965722
FLOWER,FRIDGE,0.4020246950727664
FINGER,FRIDGE,0.12257883210539244
FACE,FRIDGE,0.46064982700959156
EYE,FRIDGE,0.5915789413923731
FRIDGE,FRIDGE,1.0
EAT,FRIDGE,0.6091665755941831
EAR,FRIDGE,0.5915789413923731
DOOR,FRIDGE,0.6814705580401386
DOG,FRIDGE,0.8710248043597462
DOCTOR,FRIDGE,0.11867052151652491
DINNER,FRIDGE,0.45869590826706297
ALL,FRIDGE,0.48996239297800415
CUP,FRIDGE,0.2066082194217631
BISCUIT,FRIDGE,0.14993747933127732
BREAD,FRIDGE,0.7146914345974196
BOY,FRIDGE,0.47237475877619417
BOX,FRIDGE,0.48996239297800415
BOOK,FRIDGE,0.728370758210362
BOAT,FRIDGE,0.005329041335552898
BLUE,FRIDGE,0.710783124008552
BIRD,FRIDGE,0.6130748861830506
CRY,FRIDGE,0.09131234739445215
BED,FRIDGE,0.3902997633061629
BATHROOM,FRIDGE,0.2066082194217631
BATH,FRIDGE,0.09717504982965908
BALL,FRIDGE,0.2066082194217631
BAD,FRIDGE,0.14993747933127732
ARM,FRIDGE,0.296499836069529
APPLE,FRIDGE,0.6345708309737281
BREAKFAST,FRIDGE,0.2066082194217631
BROTHER,FRIDGE,0.5524958355036969
BUS,FRIDGE,0.5329542825593592
COLD,FRIDGE,0.11867052151652491
COFFEE,FRIDGE,0.41375009994318024
COAT,FRIDGE,0.5779000908832419
CLOSE,FRIDGE,0.4430621928077807
CLOCK,FRIDGE,0.024870594279891023
CLEAN,FRIDGE,0.11280829218512967
CHILD,FRIDGE,0.24373740656791076
CHEESE,FRIDGE,0.5896250226498454
CHAIR,FRIDGE,0.36489598103042997
CARROTS,FRIDGE,0.43719996347638546
CAR,FRIDGE,0.8573459538506158
CAKE,FRIDGE,0.17534173471082237
BUTTERFLY,FRIDGE,0.03854991789283346
FORK,LOVE,0.04050383663536117
FOOT,LOVE,0.431337261041179
FOOD,LOVE,0.9296499362965722
FLOWER,LOVE,0.4020246950727664
FINGER,LOVE,0.12257883210539244
FACE,LOVE,0.46064982700959156
EYE,LOVE,0.5915789413923731
FRIDGE,LOVE,1.0
EAT,LOVE,0.6091665755941831
EAR,LOVE,0.5915789413923731
DOOR,LOVE,0.6814705580401386
DOG,LOVE,0.8710248043597462
DOCTOR,LOVE,0.11867052151652491
DINNER,LOVE,0.45869590826706297
FRIEND,LOVE,0.7420500818233045
ALL,LOVE,0.48996239297800415
HARD,LOVE,0.5974416438275805
JEANS,LOVE,0.34535395498228016
JACKET,LOVE,0.03464160730396637
HUG,LOVE,0.5739917802943744
HOUSE,LOVE,0.431337261041179
HEAR,LOVE,0.4430621928077807
HEAD,LOVE,0.710783124008552
HAPPY,LOVE,0.4020246950727664
GARDEN,LOVE,0.2671872701011164
HAND,LOVE,0.9530997998297774
HAIR,LOVE,0.8084918349378647
GREEN,LOVE,0.6365247497162558
GOOD,LOVE,0.5114583377686817
GLASSES,LOVE,0.11867052151652491
GIVE,LOVE,0.3375373338045451
GIRL,LOVE,0.36489598103042997
CUP,LOVE,0.2066082194217631
BISCUIT,LOVE,0.14993747933127732
BREAD,LOVE,0.7146914345974196
BOY,LOVE,0.47237475877619417
BOX,LOVE,0.48996239297800415
