source,target,weight
TICKLE,TICKLE,1.0
STAR,TICKLE,0.05303510773046893
HUG,TICKLE,0.10253050148214782
HAIR,TICKLE,0.03933966673726896
GRANDMA,TICKLE,0.3920548241653381
NECKLACE,TICKLE,0.30411619254139977
SOFT,TICKLE,0.09820556221910359
GIRL,TICKLE,0.3471243774049524
SISTER,TICKLE,0.3214155495806965
GENTLE,TICKLE,0.07417878855699156
FLOWER,TICKLE,0.27696591830256945
NICE,TICKLE,0.03165101916281721
DOLL,TICKLE,0.27192015582901763
DANCE,TICKLE,0.0667303487172286
CUDDLE,TICKLE,0.214976322237576
PONY,TICKLE,0.14481786313519285
CLEAN,TICKLE,0.08114661292093617
PRETTY,TICKLE,0.2817712730349915
CAT,TICKLE,0.01963763233176108
CAREFUL,TICKLE,0.01771557044136829
BABY,TICKLE,0.029008134061916824
BUTTERFLY,TICKLE,0.17365019153616745
PURSE,TICKLE,0.32598069657842976
RABBIT,TICKLE,0.11886882757624795
SHOES,TICKLE,0.10685524073875174
KISS,TICKLE,0.14481786313519285
BATH,TICKLE,0.05015181488843945
KITTEN,TICKLE,0.1589937195977711
LADY,TICKLE,0.4345823935530724
MUMMY,TICKLE,0.3252598733679224
AUNT,TICKLE,0.3689888814419824
LOVE,TICKLE,0.12367418230867022
CRY,TICKLE,0.0035395139723497504
SMILE,TICKLE,0.014111454388831213
TEACHER,TICKLE,0.006663014549068258
STAR,STAR,1.0
HUG,STAR,0.12827393042055935
HAIR,STAR,0.06360784817271115
GRANDMA,STAR,0.42455807076987884
NECKLACE,STAR,0.3345663730372117
SOFT,STAR,0.12384818791165086
GIRL,STAR,0.37857879023704566
SISTER,STAR,0.35226974308572734
GENTLE,STAR,0.09926019617831705
FLOWER,STAR,0.30678207838292404
NICE,STAR,0.05573979482139313
DOLL,STAR,0.3016187121225302
DANCE,STAR,0.09163795074201397
CUDDLE,STAR,0.24334523571659017
PONY,STAR,0.17154872386890863
CLEAN,STAR,0.10639082578459025
PRETTY,STAR,0.3116996367283025
CAT,STAR,0.04344579895472633
CAREFUL,STAR,0.04147873561528681
BABY,STAR,0.05303510773046893
BUTTERFLY,STAR,0.20105407394118102
PURSE,STAR,0.35694149351609106
RABBIT,STAR,0.1449936687961353
SHOES,STAR,0.13269987293590857
KISS,STAR,0.17154872386890863
BATH,STAR,0.07467240445142331
KITTEN,STAR,0.18605559099002988
LADY,STAR,0.4680786721332426
MUMMY,STAR,0.3562036697581663
AUNT,STAR,0.40095371070948493
LOVE,STAR,0.14991142714795402
CRY,STAR,0.026971868494165552
CAKE,STAR,0.011481569706544459
SING,STAR,0.013448633045983982
SMILE,STAR,0.03779061685786278
STAR,TEACHER,0.030168371421559703
HUG,TEACHER,0.07858893056356409
HAIR,TEACHER,0.016770340004948148
GRANDMA,TEACHER,0.36182665081815624
NECKLACE,TEACHER,0.2757976806853182
SOFT,TEACHER,0.0743579943274173
GIRL,TEACHER,0.31787183547310227
SISTER,TEACHER,0.29272142562990533
GENTLE,TEACHER,0.050852837461366374
FLOWER,TEACHER,0.24923662541933855
NICE,TEACHER,0.009248697808069473
DOLL,TEACHER,0.24430066648146065
DANCE,TEACHER,0.04356620283173118
CUDDLE,TEACHER,0.18859327270338122
PONY,TEACHER,0.11995806264961728
CLEAN,TEACHER,0.05766945695651393
PRETTY,TEACHER,0.25393777679641283
BABY,TEACHER,0.006663014549068258
BUTTERFLY,TEACHER,0.1481643708927427
PURSE,TEACHER,0.2971873694332958
RABBIT,TEACHER,0.09457244523273656
SHOES,TEACHER,0.08281986679971087
KISS,TEACHER,0.11995806264961728
BATH,TEACHER,0.027347680595315227
KITTEN,TEACHER,0.13382630920715655
LADY,TEACHER,0.40343079047145336
MUMMY,TEACHER,0.2964821467251244
AUNT,TEACHER,0.3392615242210799
LOVE,TEACHER,0.09927359660981083
HUG,HUG,1.0
HAIR,HUG,0.1136002579283053
GRANDMA,HUG,0.4915150267838624
GIRL,HUG,0.4433746766645885
GENTLE,HUG,0.1509282598899686
FLOWER,HUG,0.36820365615772843
DOLL,HUG,0.36279748207892304
DANCE,HUG,0.14294780291925413
CUDDLE,HUG,0.30178531748722315
CLEAN,HUG,0.15839390028358902
CAT,HUG,0.09249057819661788
CAREFUL,HUG,0.09043111188180264
BABY,HUG,0.10253050148214782
BUTTERFLY,HUG,0.25750649170903306
RABBIT,HUG,0.19881120172069533
BATH,HUG,0.12518483095155664
AUNT,HUG,0.4668012309996381
CRY,HUG,0.07524242280601423
CAKE,HUG,0.059023900569598275
DEER,HUG,0.030191172155743295
CHILD,HUG,0.013972849925767639
HUG,LADY,0.5370810940112272
HAIR,LADY,0.4489858573446064
GRANDMA,LADY,0.9407114909100072
GIRL,LADY,0.8780734739658618
GENTLE,LADY,0.4975554212845652
FLOWER,LADY,0.7802643245112493
DOLL,LADY,0.7732300980091558
DANCE,LADY,0.48717148692187884
CUDDLE,LADY,0.6938437417684848
CLEAN,LADY,0.5072693340725571
CAT,LADY,0.4215187729044876
CAREFUL,LADY,0.41883908661858915
BABY,LADY,0.4345823935530724
BUTTERFLY,LADY,0.6362300866087889
RABBIT,LADY,0.5598586274478037
KISS,LADY,0.5960345923138723
BATH,LADY,0.46405914270439497
KITTEN,LADY,0.6157974286772034
LADY,LADY,1.0
AUNT,LADY,0.9085550554727861
CRY,LADY,0.3990762502552583
CAKE,LADY,0.37797357074897797
DEER,LADY,0.3404577627399601
CHILD,LADY,0.3193550832336802
COOKER,LADY,0.2918881988000013
BATHROOM,LADY,0.28217408600556926
BEE,LADY,0.2791595889387639
HELP,LADY,0.26107140649928917
GARDEN,LADY,0.26107140649928917
GIVE,LADY,0.24633313192684803
BIRD,LADY,0.24633313192684803
DINNER,LADY,0.2439884564282968
BEACH,LADY,0.24331843485360216
BASKET,LADY,0.2413087701423986
CHEEK,LADY,0.2295849926367628
FACE,LADY,0.21116199941638114
JAM,LADY,0.2081473023431355
DISH,LADY,0.1937438385516015
COW,LADY,0.19206918462774492
APPLE,LADY,0.1880494551924572
HAPPY,LADY,0.17364619140736348
FRIEND,LADY,0.1575678736855326
EGG,LADY,0.14282959911309123
CUP,LADY,0.14282959911309123
BISCUIT,LADY,0.1388100696842438
HOUSE,LADY,0.1388100696842438
BED,LADY,0.1331156863250995
COAT,LADY,0.12072188724476929
GOOD,LADY,0.12072188724476929
DRAW,LADY,0.11703736860326908
BREAKFAST,LADY,0.11703736860326908
EYE,LADY,0.11335284996176864
GIRAFFE,LADY,0.11000314210117557
BOOK,LADY,0.10665343424058249
CALL,LADY,0.10330392638642971
COFFEE,LADY,0.09359001359843777
SOFA,LADY,0.08655578709634448
BROOM,LADY,0.07885153901955655
JUMPER,LADY,0.07081248016186126
BUTTER,LADY,0.06947263701891204
GLASS,LADY,0.06679295073301361
BREAD,LADY,0.06444827523446262
HURT,LADY,0.0621033997294711
HAVE,LADY,0.05406434087177625
HURRY,LADY,0.05406434087177625
BALLOON,LADY,0.047365125157030175
CARROTS,LADY,0.04435042808378409
HORSE,LADY,0.04301058494083487
GOOSE,LADY,0.033296672152843154
EAR,LADY,0.02458759172045344
JUG,LADY,0.02458759172045344
BUTTON,LADY,0.02458759172045344
AWAY,LADY,0.0158785112880635
HEAR,LADY,0.015543500500716068
CLOSE,LADY,0.009179295573317425
EMPTY,LADY,0.007169430855673564
FISH,LADY,0.0051597661444697795
ANIMAL,LADY,0.0051597661444697795
BOWL,LADY,0.004824755357122568
FINGER,LADY,0.004824755357122568
DUCK,LADY,0.004824755357122568
HUG,PURSE,0.4207203471951797
HAIR,PURSE,0.3392937252579533
GRANDMA,PURSE,0.7937963602427998
NECKLACE,PURSE,0.6804803114660292
GIRL,PURSE,0.7358998959766505
GENTLE,PURSE,0.3841867708140201
FLOWER,PURSE,0.6454947849320749
NICE,PURSE,0.3293864062422809
DOLL,PURSE,0.6389929755738135
DANCE,PURSE,0.37458906176778894
CUDDLE,PURSE,0.5656162128420534
PONY,PURSE,0.47521110179747783
CLEAN,PURSE,0.3931654599278096
PRETTY,PURSE,0.6516869843208952
CAT,PURSE,0.3139061077766705
CAREFUL,PURSE,0.31142922802114215
BABY,PURSE,0.32598069657842976
BUTTERFLY,PURSE,0.5123638981175194
PURSE,PURSE,1.0
RABBIT,PURSE,0.4417736251107285
KISS,PURSE,0.47521110179747783
BATH,PURSE,0.3532261738827991
KITTEN,PURSE,0.49347788998805764
LADY,PURSE,0.8485967248145392
MUMMY,PURSE,0.7077257887703983
AUNT,PURSE,0.7640740031829023
LOVE,PURSE,0.4479658244995488
CRY,PURSE,0.29316243983056256
CAKE,PURSE,0.2736572117622187
DEER,PURSE,0.23898129519770528
CHILD,PURSE,0.21947606712936163
COOKER,PURSE,0.1940882496416385
BATHROOM,PURSE,0.18510976053428907
BEE,PURSE,0.1823232708093201
HELP,PURSE,0.16560453246594542
GARDEN,PURSE,0.16560453246594542
GIVE,PURSE,0.1519818938169808
BIRD,PURSE,0.1519818938169808
DINNER,PURSE,0.14981462403089374
BEACH,PURSE,0.14919540409201182
