source,target,weight
APPLE,APPLE,1.0
TEA (DRINK),APPLE,0.7900000434189216
APPLE,PIZZA,0.9310811456227215
BANANA,PIZZA,0.7823612077986173
BREAD,PIZZA,0.760597369929833
BREAKFAST,PIZZA,0.844932422583546
BUTTER,PIZZA,0.83918913302958
CAKE,PIZZA,0.7702702786523015
CARROTS,PIZZA,0.7472973271932086
CEREAL,PIZZA,0.8297298040504066
CHEESE,PIZZA,0.560641863986713
CHICKEN,PIZZA,0.5864864602227888
COFFEE,PIZZA,0.83918913302958
DINNER,PIZZA,0.9270270588787457
DRINK,PIZZA,0.8872234860804105
EAT,PIZZA,0.8041252524241715
EGG,PIZZA,0.6123310564588644
FISH,PIZZA,0.6594594013440431
FOOD,PIZZA,0.8258890902929559
CHIPS,PIZZA,0.878378431464576
ICE CREAM,PIZZA,0.8162161815704871
JAM,PIZZA,0.8041252524241715
JUICE,PIZZA,0.8966216150556972
LUNCH,PIZZA,0.9081081941636284
MEAT,PIZZA,0.84765292816174
MEDICINE,PIZZA,0.5451351062450676
MILK,PIZZA,0.862162084488673
PASTA,PIZZA,1.0
PIZZA,PIZZA,1.0
TEA (DRINK),PIZZA,0.8540541177574912
BISCUIT,PIZZA,0.8162161815704871
LAMB,PIZZA,0.14864860673849267
APPLE,PASTA,0.9310811456227215
BANANA,PASTA,0.7823612077986173
BREAD,PASTA,0.760597369929833
BREAKFAST,PASTA,0.844932422583546
BUTTER,PASTA,0.83918913302958
CAKE,PASTA,0.7702702786523015
CARROTS,PASTA,0.7472973271932086
CEREAL,PASTA,0.8297298040504066
CHEESE,PASTA,0.560641863986713
CHICKEN,PASTA,0.5864864602227888
COFFEE,PASTA,0.83918913302958
DINNER,PASTA,0.9270270588787457
DRINK,PASTA,0.8872234860804105
EAT,PASTA,0.8041252524241715
EGG,PASTA,0.6123310564588644
FISH,PASTA,0.6594594013440431
FOOD,PASTA,0.8258890902929559
CHIPS,PASTA,0.878378431464576
ICE CREAM,PASTA,0.8162161815704871
JAM,PASTA,0.8041252524241715
JUICE,PASTA,0.8966216150556972
LUNCH,PASTA,0.9081081941636284
MEAT,PASTA,0.84765292816174
MEDICINE,PASTA,0.5451351062450676
MILK,PASTA,0.862162084488673
PASTA,PASTA,1.0
TEA (DRINK),PASTA,0.8540541177574912
BISCUIT,PASTA,0.8162161815704871
LAMB,PASTA,0.14864860673849267
APPLE,DINNER,0.8605404911424366
BANANA,DINNER,0.7170696941922645
BREAD,DINNER,0.6960739577236164
BREAKFAST,DINNER,0.7774323331612427
BUTTER,DINNER,0.7718918719985379
CAKE,DINNER,0.7054053042622288
CARROTS,DINNER,0.683243252854639
CEREAL,DINNER,0.7627662484459643
CHEESE,DINNER,0.5031756806071042
