source,target,weight
ZIP,ZIP,1.0
CUP,ZIP,0.1314043970154528
CUT,ZIP,0.2656522252255924
JACKET,ZIP,0.2295084736065276
DANCE,ZIP,0.08235225315742678
DOG,ZIP,0.07632822417925711
HUG,ZIP,0.2545155937963881
PUT,ZIP,0.2131578997371706
DOOR,ZIP,0.24844089482365894
HOT,ZIP,0.05911689377732343
DRAW,ZIP,0.21497463016709917
SPOON,ZIP,0.056658132291333096
BOTTLE,ZIP,0.07632822417925711
HIT,ZIP,0.16410575587914455
DRAWER,ZIP,0.03330010929940097
SWIM,ZIP,0.24844089482365894
DRIVE,ZIP,0.3525282532722789
MOTORCYCLE,ZIP,0.16566301371193393
SOAP,ZIP,0.11505361202111852
HAND,ZIP,0.3344973357083487
PAPER,ZIP,0.01694932430506646
CATCH,ZIP,0.28286355562752585
SCISSORS,ZIP,0.09870282702678401
PUSH,ZIP,0.3344973357083487
SCRATCH,ZIP,0.3766649051806059
BUTTON,ZIP,0.27227204888978895
PUPPY,ZIP,0.16410575587914455
BALL,ZIP,0.16566301371193393
CLEAN,ZIP,0.21401844514476953
PULL,ZIP,0.1968071147428363
COLD,ZIP,0.041905774500367476
CUDDLE,ZIP,0.3276127613225799
PHONE,ZIP,0.01694932430506646
PENNY,ZIP,0.01694932430506646
PEN,ZIP,0.2746676840075575
BROOM,ZIP,0.18194286071388555
TAKE,ZIP,0.17959578434090262
BATH,ZIP,0.09870282702678401
DROP,ZIP,0.041905774500367476
WRITE,ZIP,0.43463560145600244
CARRY,ZIP,0.44596076748996283
HAMMER,ZIP,0.3344973357083487
TICKLE,ZIP,0.23314214559136226
WASH,ZIP,0.24844089482365894
FINGER,ZIP,0.3891683597130473
THROW,ZIP,0.3900428393691502
WIPE,ZIP,0.26221004359519684
CAR,ZIP,0.09353955458119056
TOWEL,ZIP,0.16566301371193393
YOU,ZIP,0.041905774500367476
ARM,ZIP,0.47218755667386114
FORK,ZIP,0.34396354631691417
BLANKET,ZIP,0.0005985393107319492
FISH,ZIP,0.007483113696500565
COOKER,ZIP,0.007483113696500565
KEY,ZIP,0.004445869772624844
PLAY,ZIP,0.0005985393107319492
TOOTHBRUSH,ZIP,0.04936101969986062
BASKET,ZIP,0.03792649092764311
KITTEN,ZIP,0.045148443027186014
SPLASH,ZIP,0.045148443027186014
WATER,ZIP,0.045148443027186014
ANIMAL,ZIP,0.005337872801846055
BYE BYE,ZIP,0.02334746674306576
BOOK,ZIP,0.01843585527045022
GARDEN,ZIP,0.02619110906272981
JUG,ZIP,0.02619110906272981
OPEN,ZIP,0.02334746674306576
HARD,ZIP,0.02077469776931684
WET,ZIP,0.02077469776931684
PEEKABOO,ZIP,0.01843585527045022
TIRED,ZIP,0.007233775098273609
DIRTY,ZIP,0.007233775098273609
FLOWER,ZIP,0.005337872801846055
HORSE,ZIP,0.005337872801846055
RADIO,ZIP,0.0036226934860135174
CUP,CUP,1.0
BOTTLE,CUP,0.1314043970154528
CATCH,CUP,0.34751804643524986
BUTTON,CUP,0.3364352518752649
BALL,CUP,0.22488209197828524
CLEAN,CUP,0.27548009292032516
COLD,CUP,0.09538542025799068
CUDDLE,CUP,0.39434261065746234
BROOM,CUP,0.24191692189917058
BATH,CUP,0.15481667912655928
CARRY,CUP,0.5181792328605048
CAR,CUP,0.14941377983169546
ARM,CUP,0.5456223130388043
BLANKET,CUP,0.052162648149035595
BICYCLE,CUP,0.04836049843229162
BRING,CUP,0.02334746674306576
CUP,WRITE,0.5063289990079238
CUT,WRITE,0.681081154118911
JACKET,WRITE,0.6340325862957512
DANCE,WRITE,0.44247720536401025
DOG,WRITE,0.43463560145600244
HUG,WRITE,0.6665844686754927
PUT,WRITE,0.6127486550811132
DOOR,WRITE,0.6586769937745578
HOT,WRITE,0.412231441111649
DRAW,WRITE,0.6151134659521915
SPOON,WRITE,0.4090309975802968
BOTTLE,WRITE,0.43463560145600244
HIT,WRITE,0.5488968614371994
DRAWER,WRITE,0.37862541172009645
SWIM,WRITE,0.6586769937745578
DRIVE,WRITE,0.7941687703511282
MOTORCYCLE,WRITE,0.5509238723445493
SOAP,WRITE,0.48504506779328604
HAND,WRITE,0.7706977954963241
PAPER,WRITE,0.35734148050545844
CATCH,WRITE,0.7034853144632645
SCISSORS,WRITE,0.46376113657864804
PUSH,WRITE,0.7706977954963241
SCRATCH,WRITE,0.8255879672274922
BUTTON,WRITE,0.6896982200686537
PUPPY,WRITE,0.5488968614371994
BALL,WRITE,0.5509238723445493
CLEAN,WRITE,0.6138688842108286
PULL,WRITE,0.5914647238664752
COLD,WRITE,0.38982749189227306
CUDDLE,WRITE,0.7617361735835784
PHONE,WRITE,0.35734148050545844
PENNY,WRITE,0.35734148050545844
PEN,WRITE,0.6928167471088018
BROOM,WRITE,0.5721155419440938
TAKE,WRITE,0.5690605635221222
BATH,WRITE,0.46376113657864804
DROP,WRITE,0.38982749189227306
WRITE,WRITE,1.0
CARRY,WRITE,0.9157911137919292
HAMMER,WRITE,0.7706977954963241
TICKLE,WRITE,0.6387622080379081
WASH,WRITE,0.6586769937745578
FINGER,WRITE,0.8418638028548742
THROW,WRITE,0.8430019776076627
WIPE,WRITE,0.676600448725027
CAR,WRITE,0.45703976180035544
TOWEL,WRITE,0.5509238723445493
ARM,WRITE,0.9499308671261733
FORK,WRITE,0.7830201047982162
BLANKET,WRITE,0.33605754929082066
FISH,WRITE,0.3450191712035666
COOKER,WRITE,0.3450191712035666
BICYCLE,WRITE,0.3313277164236865
KEY,WRITE,0.34106543375309917
PLAY,WRITE,0.33605754929082066
SOFT,WRITE,0.3313277164236865
PERSON,WRITE,0.3279492945364446
BRING,WRITE,0.3002108505148602
GIVE,WRITE,0.3076789743379702
TOOTHBRUSH,WRITE,0.2603812790415603
BASKET,WRITE,0.2468675914925924
KITTEN,WRITE,0.2554025298261535
SPLASH,WRITE,0.2554025298261535
WATER,WRITE,0.2554025298261535
ANIMAL,WRITE,0.20835396200299328
BYE BYE,WRITE,0.22963789321763128
BOOK,WRITE,0.2238332230909077
GARDEN,WRITE,0.23299836948180008
JUG,WRITE,0.23299836948180008
OPEN,WRITE,0.22963789321763128
HARD,WRITE,0.226597271294118
WET,WRITE,0.226597271294118
PEEKABOO,WRITE,0.2238332230909077
TIRED,WRITE,0.21059420913744686
DIRTY,WRITE,0.21059420913744686
FLOWER,WRITE,0.20835396200299328
HORSE,WRITE,0.20835396200299328
RADIO,WRITE,0.20632695109564358
BLOCK,WRITE,0.19416467452656816
BUMP,WRITE,0.1860564197721919
ME,WRITE,0.18943484165943403
TEDDY,WRITE,0.18819025991807092
