source,target,weight
ZIP,ZIP,1.0
CUP,ZIP,0.0008832157441041044
BATH,ZIP,0.1610674802082559
ME,ZIP,0.08889227112942044
BOWL,ZIP,0.17899019826693996
HAIR,ZIP,0.031625527347669546
SHIRT,ZIP,0.1754056997517437
HARD,ZIP,0.29459157190756136
SPOON,ZIP,0.16405444956290194
KITTEN,ZIP,0.10729932603220349
KISS,ZIP,0.0505439770188032
SOAP,ZIP,0.09108351202837484
PILLOW,ZIP,0.4077683300525601
DOG,ZIP,0.04720548013159176
SOCK,ZIP,0.14513622537447035
FINGER,ZIP,0.14314476214957184
PEN,ZIP,0.2148356343843083
BROOM,ZIP,0.012707077676536116
BASKET,ZIP,0.23499852308830116
PLANT,ZIP,0.024242772715691085
PAPER,ZIP,0.17899019826693996
SOFT,ZIP,0.2865265066190448
OUCH,ZIP,0.14314476214957184
COLD,ZIP,0.14314476214957184
BUMP,ZIP,0.08110454956448021
PULL,ZIP,0.23972824824743566
HUG,ZIP,0.2562818353390022
WIPE,ZIP,0.0672366869375618
JACKET,ZIP,0.0672366869375618
ARM,ZIP,0.08666111979219537
WET,ZIP,0.27756514758970274
SCRATCH,ZIP,0.2875806382513366
CUDDLE,ZIP,0.25068107050167643
JEANS,ZIP,0.031625527347669546
TOWEL,ZIP,0.15171648706969454
CHAIR,ZIP,0.02216630251210283
PUSH,ZIP,0.08838087636107006
JUMPER,ZIP,0.14314476214957184
BED,ZIP,0.25068107050167643
COAT,ZIP,0.10729932603220349
BABY,ZIP,0.12351514003603237
HOT,ZIP,0.14736173964414334
BUTTON,ZIP,0.0647329270135042
TEDDY,ZIP,0.0356084537974668
TICKLE,ZIP,0.10729932603220349
BLANKET,ZIP,0.1610674802082559
PUPPY,ZIP,0.09027267623164281
CUP,CUP,1.0
BATH,CUP,0.19548155213272822
BOWL,CUP,0.21383990277185894
BROOM,CUP,0.04351523022911308
BASKET,CUP,0.271209692148467
COLD,CUP,0.1771232014935975
BUMP,CUP,0.11357518607959993
ARM,CUP,0.1192665949631675
CUDDLE,CUP,0.2872733053283818
CAT,CUP,0.011898271224123347
CHAIR,CUP,0.0532044474208162
BED,CUP,0.2872733053283818
COAT,CUP,0.14040650021533585
BABY,CUP,0.15701645798242603
BUTTON,CUP,0.09680558655942706
BLANKET,CUP,0.19548155213272822
CUP,PILLOW,0.4481786634738316
FRIDGE,PILLOW,0.3553440527809908
BATH,PILLOW,0.6654220021511048
ME,PILLOW,0.5675372553794535
BOWL,PILLOW,0.689729037436893
HAIR,PILLOW,0.4898717679873188
HAMMER,PILLOW,0.3737387061351589
HAND,PILLOW,0.4308600135740588
KNEE,PILLOW,0.4077683300525601
HARD,PILLOW,0.84650873858212
KITTEN,PILLOW,0.5925011217764429
MONEY,PILLOW,0.438557091092757
CHIPS,PILLOW,0.40233509886289087
KISS,PILLOW,0.5155292191759508
PILLOW,PILLOW,1.0
DOG,PILLOW,0.511001301035191
FINGER,PILLOW,0.6411149668653169
PEN,PILLOW,0.7383428825257672
BROOM,PILLOW,0.4642145422813888
BASKET,PILLOW,0.7656880717395764
PAPER,PILLOW,0.689729037436893
FOOD,PILLOW,0.3980455159382448
FORK,PILLOW,0.438557091092757
DISH,PILLOW,0.438557091092757
OUCH,PILLOW,0.6411149668653169
COLD,PILLOW,0.6411149668653169
BUMP,PILLOW,0.5569756456133468
HUG,PILLOW,0.7945525634000989
JACKET,PILLOW,0.5381679079489416
ARM,PILLOW,0.5645112775173453
SOFA,PILLOW,0.3737387061351589
CUDDLE,PILLOW,0.786956727614641
CAT,PILLOW,0.4223525512240327
JEANS,PILLOW,0.4898717679873188
CHAIR,PILLOW,0.4770431551343539
JUMPER,PILLOW,0.6411149668653169
BED,PILLOW,0.786956727614641
COAT,PILLOW,0.5925011217764429
KICK,PILLOW,0.3737387061351589
BABY,PILLOW,0.6144931261598265
KEY,PILLOW,0.42950170577664126
HOT,PILLOW,0.6468343356039441
BUTTON,PILLOW,0.5347721384553983
BLANKET,PILLOW,0.6654220021511048
CUT,PILLOW,0.33849350497076625
BOX,PILLOW,0.32512463556358284
HORSE,PILLOW,0.3208352781216388
GLASS,PILLOW,0.300817825760497
