source,target,weight
ZOO,ZOO,1.0
PILLOW,ZOO,0.3692067487947508
FACE,ZOO,0.402350673225339
ASLEEP,ZOO,0.24247953181751525
SCARED,ZOO,0.1561380345464396
DRIVE,ZOO,0.28240101336329837
SAD,ZOO,0.2508352186549734
FLOWER,ZOO,0.10405455328427982
GLASSES,ZOO,0.2532026132548093
HAIR,ZOO,0.21926942394664817
READ,ZOO,0.402350673225339
HAT,ZOO,0.30291869991713294
OLD,ZOO,0.128159334697312
CRY,ZOO,0.31949066213242716
RADIO,ZOO,0.36131530011766966
HEAD,ZOO,0.41281733358482064
HEAR,ZOO,0.43026156750084854
SICK,ZOO,0.16449372138389773
BED,ZOO,0.10878954250039352
CHURCH,ZOO,0.2209309605249552
PHONE,ZOO,0.2200586888242213
KNOW,ZOO,0.28240101336329837
LIKE,ZOO,0.1337097909448155
LOOK,ZOO,0.385778711010045
PERSON,ZOO,0.36131530011766966
LOVE,ZOO,0.09300664514623103
ME,ZOO,0.2034867266089273
PEOPLE,ZOO,0.16449372138389773
NIGHT,ZOO,0.1869145643771919
BOOK,ZOO,0.23361760336699677
NOSE,ZOO,0.2732634622565975
SEE,ZOO,0.4875782789345282
PEEKABOO,ZOO,0.09802845793924253
SLEEPY,ZOO,0.31949066213242716
EYE,ZOO,0.5349267709805745
SMELL,ZOO,0.45601248422620344
SKY,ZOO,0.1685982587768715
TV,ZOO,0.3692067487947508
YOU,ZOO,0.34304039792070906
DARK,ZOO,0.0829630195602078
EAR,ZOO,0.07722374779206831
MUMMY,ZOO,0.08137708919673181
NO,ZOO,0.07091062885369159
PICTURE,ZOO,0.07091062885369159
RAIN,ZOO,0.06393285528070392
CAR,ZOO,0.029044387448648123
ANIMAL,ZOO,0.02119454219136796
OUTSIDE,ZOO,0.04751490572525041
HAPPY,ZOO,0.04648862136467602
CALL,ZOO,0.011600353549061637
NAPPY,ZOO,0.010146634053318948
BLUE,ZOO,0.0009398772579105596
PARTY,ZOO,0.029875055729580824
HOUSE,ZOO,0.014092358391859738
RED,ZOO,0.008521900500220836
SUN,ZOO,0.04751490572525041
PILLOW,PILLOW,1.0
FACE,PILLOW,0.6299799843547138
ASLEEP,PILLOW,0.44416151007612803
DRIVE,PILLOW,0.49056212420660983
FLOWER,PILLOW,0.2832700848009706
GLASSES,PILLOW,0.4566249345696214
HAIR,PILLOW,0.4171844925652888
HAT,PILLOW,0.5144098844925051
OLD,PILLOW,0.3112869877903963
CRY,PILLOW,0.533671667811094
HEAD,PILLOW,0.6421451843341521
HEAR,PILLOW,0.6624206509775104
BED,PILLOW,0.2887735371847564
CHURCH,PILLOW,0.4191154512900961
PHONE,PILLOW,0.4181017679653267
KNOW,PILLOW,0.49056212420660983
LIKE,PILLOW,0.31773831808974684
LOOK,PILLOW,0.6107182010361252
PERSON,PILLOW,0.5822844637829228
LOVE,PILLOW,0.2704290292662055
ME,PILLOW,0.39883998464673787
PEOPLE,PILLOW,0.3535184592173475
NIGHT,PILLOW,0.3795784013445904
BOOK,PILLOW,0.4338612633958512
NOSE,PILLOW,0.4799418512201703
PEEKABOO,PILLOW,0.2762659090577244
EYE,PILLOW,0.7840732508212176
DARK,PILLOW,0.25875526968316787
EAR,PILLOW,0.2520845213476546
MUMMY,PILLOW,0.25691211817611403
NO,PILLOW,0.2447467181802343
PICTURE,PILLOW,0.2447467181802343
CAR,PILLOW,0.19608571824603982
ANIMAL,PILLOW,0.18696176825735078
OUTSIDE,PILLOW,0.21755388292917677
HAPPY,PILLOW,0.21636118488939782
