source,target,weight
AEROPLANE,AEROPLANE,1.0
AEROPLANE,CARROTS,0.6946762964375992
ANIMAL,CARROTS,0.2327770148804973
BOOK,CARROTS,0.22233956943958333
BOAT,CARROTS,0.692067566731053
BISCUIT,CARROTS,0.25887315509750763
BIRD,CARROTS,0.5746355674081851
BICYCLE,CARROTS,0.284969295314518
BEE,CARROTS,0.9791225825034449
BED,CARROTS,0.2562644253909614
BEAR,CARROTS,0.03444786520005216
BATHROOM,CARROTS,0.3110654355315301
BATH,CARROTS,0.2510444393631417
BANANA,CARROTS,0.6007317076251972
BALLOON,CARROTS,0.06054400541706251
BALL,CARROTS,0.22233956943958333
BABY,CARROTS,0.09185886835452983
ARM,CARROTS,0.03444786520005216
BREAD,CARROTS,0.6320465705626646
CARROTS,CARROTS,1.0
CAR,CARROTS,0.8460331517118451
CAKE,CARROTS,0.3345515827346315
BUTTON,CARROTS,0.2327770148804973
BUTTERFLY,CARROTS,0.5407107114568088
BUS,CARROTS,0.5407107114568088
RABBIT,CARROTS,0.15709858724337344
BROTHER,CARROTS,0.0031330022625830622
APPLE,CARROTS,0.9164928566285102
AEROPLANE,BEE,0.6743042018866241
ANIMAL,BEE,0.2131692212847085
BEE,BEE,1.0
BED,BEE,0.23661620595952648
BEAR,BEE,0.015167268211522256
BATHROOM,BEE,0.29132752127725325
BATH,BEE,0.23140506308325293
BANANA,BEE,0.5805137365726214
BALLOON,BEE,0.041219192670796545
BALL,BEE,0.20274693553216316
BABY,BEE,0.07248352331370533
ARM,BEE,0.015167268211522256
APPLE,BEE,0.8957544029419893
AEROPLANE,GIRAFFE,0.6259207931548953
DOOR,GIRAFFE,0.26780473816059924
FLOWER,GIRAFFE,0.5324992135911657
FISH,GIRAFFE,0.3664159843754149
FINGER,GIRAFFE,0.4883832571348439
EYE,GIRAFFE,0.5480694768517882
ELEPHANT,GIRAFFE,0.7115566094346324
EGG,GIRAFFE,0.16659739531287698
EAR,GIRAFFE,0.7011772761324604
DUCK,GIRAFFE,0.044630122553448004
DONKEY,GIRAFFE,0.2184978517458287
ANIMAL,GIRAFFE,0.16659739531287698
DOG,GIRAFFE,0.79459885569619
