source,target,weight
AEROPLANE,AEROPLANE,1.0
AEROPLANE,MAN,0.46716406685359324
BLUE,MAN,0.49184032201864913
DIRTY,MAN,0.44277464255153864
HAMMER,MAN,0.7130663259366707
BEAR,MAN,0.4952834925037932
BOY,MAN,0.8731753536680547
HARD,MAN,0.5475055115930474
MAN,MAN,1.0
CAR,MAN,0.5618520552811483
LORRY,MAN,0.6031707011674456
BALL,MAN,0.48581467365888575
HIT,MAN,0.5575481921854792
LION,MAN,0.662279061226988
KICK,MAN,0.5650083949032916
BROTHER,MAN,0.9156415230278778
DARK,MAN,0.41695066389143487
GRANDPA,MAN,0.8952691309584913
DOCTOR,MAN,0.46831179034864157
FAST,MAN,0.4513825687643991
BOAT,MAN,0.41207273902671937
DRIVE,MAN,0.3997346114441913
BLOCK,MAN,0.3997346114441913
DONKEY,MAN,0.39342213222142686
BAD,MAN,0.35239051721965264
JACKET,MAN,0.32800109291759805
DOG,MAN,0.3214015828103103
COLD,MAN,0.31967999756773824
JUMPER,MAN,0.31422841097702103
BREAK,MAN,0.31021117872283055
ELEPHANT,MAN,0.2955776041502065
CHIPS,MAN,0.2731967959752468
FROG,MAN,0.27176204159567585
CARRY,MAN,0.26917976374257857
BUS,MAN,0.2657365932574345
CHAIR,MAN,0.2657365932574345
SOFA,MAN,0.2640150080148622
CATCH,MAN,0.26028480664519504
FORK,MAN,0.25626777441252657
DROP,MAN,0.25196371129533546
BOX,MAN,0.24622509382009494
GREEN,MAN,0.23245221185799592
KEY,MAN,0.22958290312037577
DOOR,MAN,0.2235572547606124
ARM,MAN,0.2235572547606124
HAND,MAN,0.21925319164342083
CUT,MAN,0.21925319164342083
FINISH,MAN,0.21494932854775173
DUMMY,MAN,0.20834981844046396
CHURCH,MAN,0.2031848626912256
FALL,MAN,0.19830713784803256
BOTTLE,MAN,0.1954378291104122
HAT,MAN,0.19113376599322085
AEROPLANE,UNCLE,0.41896008010461916
POLICE,UNCLE,0.5388433795476393
MEAT,UNCLE,0.5341258719438211
BLUE,UNCLE,0.44282564803972924
DIRTY,UNCLE,0.3953719420209614
HAMMER,UNCLE,0.6567842699874507
BEAR,UNCLE,0.4461558063647648
BOY,UNCLE,0.8116337317895406
HARD,UNCLE,0.4966622408571162
MAN,UNCLE,0.9342921298331701
CAR,UNCLE,0.5105377338601635
LORRY,UNCLE,0.5504988336745034
BALL,UNCLE,0.4369980209870583
HIT,UNCLE,0.5063750859592491
LION,UNCLE,0.6076653847954039
KICK,UNCLE,0.5135902623122248
BROTHER,UNCLE,0.8527049510527331
PIG,UNCLE,0.38732407607058517
DARK,UNCLE,0.37039625463699877
TROUSERS,UNCLE,0.6404113082567684
SHIRT,UNCLE,0.4242326474328637
GRANDPA,UNCLE,0.8330018309970153
DOCTOR,UNCLE,0.42006999953194946
FAST,UNCLE,0.4036970378012674
UNCLE,UNCLE,1.0
BOAT,UNCLE,0.36567854701165836
DRIVE,UNCLE,0.35374566303334243
BLOCK,UNCLE,0.35374566303334243
DONKEY,UNCLE,0.34764060612921943
STONE,UNCLE,0.36762115603638956
SPADE,UNCLE,0.3667884664389889
THROW,UNCLE,0.3620709588351705
RUBBISH,UNCLE,0.3556882720580734
BAD,UNCLE,0.30795693616633146
MONKEY,UNCLE,0.34764060612921943
JACKET,UNCLE,0.2843687980826737
TIGER,UNCLE,0.32210985902083067
DOG,UNCLE,0.2779861113055764
COLD,UNCLE,0.27632093213229725
JUMPER,UNCLE,0.2710483648040529
BREAK,UNCLE,0.26716314675459074
MONEY,UNCLE,0.3007417598133557
TRAIN,UNCLE,0.2976890313397722
RUN,UNCLE,0.2976890313397722
ELEPHANT,UNCLE,0.253010423921614
