source,target,weight
LAMB,SHEEP,1.0
SHEEP,LAMB,1.0
DISH,PLATE,0.9032697547683926
PLATE,DISH,0.9032697547683926
GOOSE,CHICKEN,0.8787465940054497
CHICKEN,GOOSE,0.8787465940054497
DISH,BOWL,0.8760217983651227
BOWL,DISH,0.8760217983651227
DUCK,GOOSE,0.840599455040872
GOOSE,DUCK,0.840599455040872
BOOTS,SHOES,0.832425068119891
SHOES,BOOTS,0.832425068119891
LION,TIGER,0.8147138964577657
TIGER,LION,0.8147138964577657
CAT,DOG,0.8079019073569482
DOG,CAT,0.8079019073569482
HORSE,PONY,0.7861035422343324
PONY,HORSE,0.7861035422343324
COW,SHEEP,0.776566757493188
SHEEP,COW,0.776566757493188
BUS,CAR,0.7547683923705721
CAR,BUS,0.7547683923705721
DOG,DONKEY,0.7356948228882834
DONKEY,DOG,0.7356948228882834
SPOON,FORK,0.731607629427793
FORK,SPOON,0.731607629427793
SHIRT,COAT,0.7220708446866486
COAT,SHIRT,0.7220708446866486
BOWL,PLATE,0.7152588555858311
PLATE,BOWL,0.7152588555858311
GOOSE,OWL,0.7125340599455042
OWL,GOOSE,0.7125340599455042
DONKEY,HORSE,0.6934604904632153
HORSE,DONKEY,0.6934604904632153
DEER,DONKEY,0.683923705722071
DONKEY,DEER,0.683923705722071
SQUIRREL,CAT,0.670299727520436
CAT,SQUIRREL,0.670299727520436
PONY,DONKEY,0.6662125340599455
DONKEY,PONY,0.6662125340599455
PENGUIN,GOOSE,0.6525885558583107
SQUIRREL,PONY,0.6525885558583107
PONY,SQUIRREL,0.6525885558583107
GOOSE,PENGUIN,0.6525885558583107
CHICKEN,TURKEY,0.6430517711171663
TURKEY,CHICKEN,0.6430517711171663
CHICKEN,DUCK,0.6416893732970027
DUCK,CHICKEN,0.6416893732970027
SQUIRREL,MOUSE,0.6403269754768393
MOUSE,SQUIRREL,0.6403269754768393
LION,BEAR,0.6294277929155314
BEAR,LION,0.6294277929155314
DONKEY,SQUIRREL,0.6130790190735694
SQUIRREL,DONKEY,0.6130790190735694
GOOSE,TURKEY,0.6076294277929156
TURKEY,GOOSE,0.6076294277929156
PIG,DONKEY,0.6062670299727521
DONKEY,PIG,0.6062670299727521
ELEPHANT,LION,0.6035422343324252
LION,ELEPHANT,0.6035422343324252
HORSE,ELEPHANT,0.5967302452316077
ELEPHANT,HORSE,0.5967302452316077
DONKEY,ELEPHANT,0.5953678474114442
ELEPHANT,DONKEY,0.5953678474114442
COW,DONKEY,0.5926430517711172
DONKEY,COW,0.5926430517711172
COW,BEAR,0.5912806539509536
BEAR,COW,0.5912806539509536
APPLE,BANANA,0.5899182561307902
BANANA,APPLE,0.5899182561307902
CAT,DONKEY,0.5871934604904633
DONKEY,CAT,0.5871934604904633
BEAR,CAT,0.5858310626702997
CAT,BEAR,0.5858310626702997
PONY,MOUSE,0.5817438692098094
MOUSE,PONY,0.5817438692098094
DONKEY,SHEEP,0.5790190735694823
SHEEP,DONKEY,0.5790190735694823
COW,HORSE,0.5776566757493189
HORSE,COW,0.5776566757493189
TURTLE,FROG,0.5762942779291554
FROG,TURTLE,0.5762942779291554
SQUIRREL,DEER,0.5735694822888284
DEER,SQUIRREL,0.5735694822888284
CHAIR,TABLE,0.5667574931880109
TABLE,CHAIR,0.5667574931880109
DEER,DOG,0.5626702997275206
DOG,DEER,0.5626702997275206
COW,ELEPHANT,0.5531335149863761
ELEPHANT,COW,0.5531335149863761
COAT,JACKET,0.5504087193460491
JACKET,COAT,0.5504087193460491
PIG,PONY,0.5354223433242508
CAT,DEER,0.5354223433242508
DEER,CAT,0.5354223433242508
PONY,PIG,0.5354223433242508
SQUIRREL,COW,0.5326975476839237
COW,SQUIRREL,0.5326975476839237
BEAR,TIGER,0.5245231607629428
TIGER,BEAR,0.5245231607629428
LION,HORSE,0.5245231607629428
HORSE,LION,0.5245231607629428
DOG,SQUIRREL,0.5204359673024523
SQUIRREL,DOG,0.5204359673024523
SQUIRREL,HORSE,0.5190735694822889
HORSE,SQUIRREL,0.5190735694822889
PENGUIN,DUCK,0.5177111716621254
DUCK,PENGUIN,0.5177111716621254
ELEPHANT,BEAR,0.5177111716621254
BEAR,ELEPHANT,0.5177111716621254
CHICKEN,OWL,0.5149863760217984
OWL,CHICKEN,0.5149863760217984
PENGUIN,CHICKEN,0.5095367847411444
CHICKEN,PENGUIN,0.5095367847411444
JACKET,SHIRT,0.505449591280654
SHIRT,JACKET,0.505449591280654
CAT,MOUSE,0.5013623978201636
MOUSE,CAT,0.5013623978201636
LAMB,COW,0.5
COW,CAT,0.5
CAT,COW,0.5
COW,LAMB,0.5
PILLOW,BED,0.4972752043596731
BED,PILLOW,0.4972752043596731
JACKET,JEANS,0.48910081743869216
JEANS,JACKET,0.48910081743869216
PIG,SQUIRREL,0.48637602179836514
SQUIRREL,PIG,0.48637602179836514
DEER,BEAR,0.4795640326975477
BEAR,DEER,0.4795640326975477
CAT,PONY,0.4768392370572207
PONY,CAT,0.4768392370572207
HORSE,DEER,0.4741144414168938
DEER,HORSE,0.4741144414168938
DOG,PONY,0.4713896457765668
PONY,DOG,0.4713896457765668
SHIRT,TROUSERS,0.47002724795640327
TROUSERS,SHIRT,0.47002724795640327
HORSE,DOG,0.4645776566757493
DOG,HORSE,0.4645776566757493
