source,target,weight
APPLE,APPLE,1.0
TEA (DRINK),APPLE,0.3574968102786331
APPLE,DRINK,0.5310678561092137
DINNER,DRINK,0.6161349597662078
DRINK,DRINK,1.0
COFFEE,DRINK,0.654617630463554
BANANA,DRINK,0.6385833176822471
CHEESE,DRINK,0.6363383618823144
CEREAL,DRINK,0.5038937702276538
CARROTS,DRINK,0.827789848615494
CALL,DRINK,0.8500693948160003
CAKE,DRINK,0.5736014079377107
BUTTER,DRINK,0.7957210230389988
BREAKFAST,DRINK,0.7862689670663146
BREAD,DRINK,0.8662725193128404
BITE,DRINK,0.9170854457299336
TEA (DRINK),DRINK,0.7732726651229596
BISCUIT,DRINK,0.717152170360623
BLOW,DRINK,0.4044800709169214
BYE BYE,DRINK,0.3130837280107239
CHICKEN,DRINK,0.3082733941735556
CUP,DRINK,0.27267672376462926
BOTTLE,DRINK,0.1482662896805036
DOCTOR,DRINK,0.12699941375931467
CRY,DRINK,0.09084590470578635
APPLE,TONGUE,0.529349336843977
DINNER,TONGUE,0.6143210338797511
KISS,TONGUE,0.7296394369769261
JUICE,TONGUE,0.6345016344134282
JAM,TONGUE,0.43269422897949106
ICE CREAM,TONGUE,0.8833975077870404
HELLO,TONGUE,0.529349336843977
CHIPS,TONGUE,0.8257383062384529
FOOD,TONGUE,0.5616755802852718
EAT,TONGUE,0.9573936431188326
DRINK,TONGUE,0.9977552442139483
COFFEE,TONGUE,0.6527605015788094
BANANA,TONGUE,0.6367439900329082
CHEESE,TONGUE,0.6345016344134282
CEREAL,TONGUE,0.5022056530723231
CARROTS,TONGUE,0.8257383062384529
CALL,TONGUE,0.8479928507038388
CAKE,TONGUE,0.5718352853688047
BUTTER,TONGUE,0.7937054831605315
BREAKFAST,TONGUE,0.7842640279235378
BREAD,TONGUE,0.8641777739375112
BITE,TONGUE,0.9149336963985302
LOVE,TONGUE,0.45735954075212804
LUNCH,TONGUE,0.5566616323172826
MEAT,TONGUE,0.5182221646182243
MEDICINE,TONGUE,0.6143210338797511
TONGUE,TONGUE,1.0
TOAST,TONGUE,0.4990024307686953
THIRSTY,TONGUE,0.5694749215595563
TELL,TONGUE,0.9170322420375974
TEA (DRINK),TONGUE,0.7712823269934932
SMILE,TONGUE,0.7417782794125911
SING,TONGUE,0.6479555681164273
SAY,TONGUE,0.6345016344134282
PIZZA,TONGUE,0.7205354051571178
PHONE,TONGUE,0.47305583007460705
PERSON,TONGUE,0.5374418984677536
PASTA,TONGUE,0.7842640279235378
NO,TONGUE,0.6345016344134282
NASTY,TONGUE,0.42313496556661034
MOUTH,TONGUE,0.975450096236679
MILK,TONGUE,0.6367439900329082
BISCUIT,TONGUE,0.7152246365897792
BLOW,TONGUE,0.40290356150716855
SICK,TONGUE,0.40064240458287803
HI,TONGUE,0.40064240458287803
DUMMY,TONGUE,0.39233282789825585
OUCH,TONGUE,0.35940634280019035
BYE BYE,TONGUE,0.3116098257219049
CHICKEN,TONGUE,0.3068048922595228
FISH,TONGUE,0.2956775200198891
FEED,TONGUE,0.291429025174347
PEOPLE,TONGUE,0.28193216609232663
CUP,TONGUE,0.2712482246267891
FORK,TONGUE,0.2712482246267891
ME,TONGUE,0.2555521353181909
