source,target,weight
AEROPLANE,AEROPLANE,1.0
AEROPLANE,MOON,0.7926277549508407
MOON,MOON,1.0
BEAR,MOON,0.6082512210333368
GIRAFFE,MOON,0.6357640254315771
LOVE,MOON,0.9618106297207656
ELEPHANT,MOON,0.7146064350227046
HAPPY,MOON,0.47150868874881136
DARK,MOON,0.5244810733332079
MEDICINE,MOON,0.49080859629871587
CHURCH,MOON,0.579917126950263
FAST,MOON,0.45549373991639897
LION,MOON,0.45015555698682297
BEACH,MOON,0.6160532730174135
FRIEND,MOON,0.5671873368571847
LORRY,MOON,0.5827916408471805
ALL,MOON,0.774970226748761
BUS,MOON,0.38198951325484765
FINISH,MOON,0.37172359221627005
HORSE,MOON,0.3684384334769357
HURT,MOON,0.3684384334769357
MONEY,MOON,0.3511917501391153
HOUSE,MOON,0.3405151842581211
KNOW,MOON,0.3405151842581211
BOAT,MOON,0.33969389457328747
GOOD,MOON,0.3376406703612034
HUG,MOON,0.3277853941650428
CAR,MOON,0.2978087207123017
BAD,MOON,0.29370247230997615
MAN,MOON,0.28548957546164044
GARDEN,MOON,0.28548957546164044
HELP,MOON,0.28548957546164044
HARD,MOON,0.2583874159058168
KISS,MOON,0.2493534293944899
MAKE,MOON,0.20664716587051313
HEAR,MOON,0.2008981380766779
BROTHER,MOON,0.1815982305267736
DANCE,MOON,0.176670492417772
GIVE,MOON,0.15654929518303407
FALL,MOON,0.15654929518303407
CLEAN,MOON,0.14053434635062168
BED,MOON,0.14053434635062168
HURRY,MOON,0.12862584594237703
ANIMAL,MOON,0.1253406872030427
GRANDPA,MOON,0.12246637332796739
FOOD,MOON,0.11918121458863329
FRIDGE,MOON,0.11096831774029736
COW,MOON,0.09248969987522626
LIKE,MOON,0.08222377883664911
DOCTOR,MOON,0.08017055462456502
KICK,MOON,0.05717484349290958
AUNT,MOON,0.04485569824224811
DONKEY,MOON,0.04403440855741447
HAVE,MOON,0.04403440855741447
GREEN,MOON,0.03253655299158664
SOFA,MOON,0.01980676289850858
DRIVE,MOON,0.01980676289850858
COLD,MOON,0.01980676289850858
AEROPLANE,SKY,0.7764327864602816
MOON,SKY,0.9819318269555035
POLICE,SKY,0.4895480586480043
PEOPLE,SKY,0.5575050795546874
BEAR,SKY,0.5937218344243191
SKY,SKY,1.0
PARTY,SKY,0.4655392368846678
GIRAFFE,SKY,0.6209860116724746
LOVE,SKY,0.9440874943543835
ELEPHANT,SKY,0.6991163435047107
HAPPY,SKY,0.4582144370165222
PARK,SKY,0.5750029903265437
DARK,SKY,0.5107083693539336
OUTSIDE,SKY,0.7752120531562046
MEDICINE,SKY,0.4773401255417091
CHURCH,SKY,0.5656437682994984
FAST,SKY,0.4423443039979966
LION,SKY,0.43705412631059315
SHOW,SKY,0.41752159335799477
BEACH,SKY,0.6014534787198762
FRIEND,SKY,0.5530289907657917
NIGHT,SKY,0.6270900782365434
LORRY,SKY,0.5684922793569056
ALL,SKY,0.7589348756884251
BUS,SKY,0.36950394983132173
FINISH,SKY,0.35933083892761086
OPEN,SKY,0.36950394983132173
HORSE,SKY,0.35607528342094974
HURT,SKY,0.35607528342094974
MONEY,SKY,0.33898441709834715
HOUSE,SKY,0.3284042617453826
KNOW,SKY,0.3284042617453826
BOAT,SKY,0.3275903728687173
GOOD,SKY,0.32555575068797515
SCHOOL,SKY,0.3312527728027901
HUG,SKY,0.31578948421167596
CAR,SKY,0.2860836403335245
BAD,SKY,0.28201439597204025
MUMMY,SKY,0.2860836403335245
MAN,SKY,0.2738757072272291
GARDEN,SKY,0.2738757072272291
HELP,SKY,0.2738757072272291
SING,SKY,0.2681786851124144
HARD,SKY,0.24701837440648533
KISS,SKY,0.23806599680685148
SCARED,SKY,0.21405717504351474
PLAY,SKY,0.21405717504351474
MAKE,SKY,0.19574537539499315
POOL,SKY,0.20225628638647342
HEAR,SKY,0.19004835328017844
SISTER,SKY,0.19655926427165848
PERSON,SKY,0.19004835328017844
BROTHER,SKY,0.1709226647549913
DANCE,SKY,0.1660395315168417
SICK,SKY,0.16319102045943423
GIVE,SKY,0.14610015413683186
FALL,SKY,0.14610015413683186
READ,SKY,0.15016939849831612
CLEAN,SKY,0.13022982109646364
BED,SKY,0.13022982109646364
RAIN,SKY,0.13389222103053644
HURRY,SKY,0.11842893243942254
ANIMAL,SKY,0.11517357695460362
GRANDPA,SKY,0.11232506589719593
RUN,SKY,0.12168428792424124
FOOD,SKY,0.10906951039053459
FRIDGE,SKY,0.10093102166756607
RED,SKY,0.10622099933312734
SAD,SKY,0.10377953272497353
RIDE,SKY,0.0944201106760858
COW,SKY,0.08261922201904448
LIKE,SKY,0.07244591109349141
DOCTOR,SKY,0.07041128891274928
KICK,SKY,0.04762340047533198
PLEASE,SKY,0.05698262250237729
AUNT,SKY,0.03541546736903678
DONKEY,SKY,0.03460157849237144
HAVE,SKY,0.03460157849237144
PRETTY,SKY,0.036229356245702116
GREEN,SKY,0.02320753426274158
PUSH,SKY,0.022393645386076244
SOFA,SKY,0.010592756729034702
DRIVE,SKY,0.010592756729034702
COLD,SKY,0.010592756729034702
AEROPLANE,LOVE,0.7583976170197786
BEAR,LOVE,0.5775412675064118
GIRAFFE,LOVE,0.6045288145465486
LOVE,LOVE,1.0
ELEPHANT,LOVE,0.6818660597737274
HAPPY,LOVE,0.4434096203305402
DARK,LOVE,0.49537049445799464
CHURCH,LOVE,0.5497482325069898
FAST,LOVE,0.42770050489513456
LION,LOVE,0.42246413308333275
BEACH,LOVE,0.5851945032397539
FRIEND,LOVE,0.5372614689524096
LORRY,LOVE,0.5525679404190937
ALL,LOVE,0.7410773256439604
BUS,LOVE,0.3555996314797576
FINISH,LOVE,0.34552973184671765
HORSE,LOVE,0.34230737996589244
HURT,LOVE,0.34230737996589244
HOUSE,LOVE,0.3149169889351917
KNOW,LOVE,0.3149169889351917
BOAT,LOVE,0.3141115009759068
GOOD,LOVE,0.3120974810449302
HUG,LOVE,0.3024302253806115
CAR,LOVE,0.273026014440777
BAD,LOVE,0.26899817460066644
GARDEN,LOVE,0.2609420948767607
HELP,LOVE,0.2609420948767607
HARD,LOVE,0.2343573918271875
KISS,LOVE,0.22549582414399638
HEAR,LOVE,0.17796583386905862
BROTHER,LOVE,0.15903416653098534
DANCE,LOVE,0.1542006387097472
GIVE,LOVE,0.13446348341238856
FALL,LOVE,0.13446348341238856
CLEAN,LOVE,0.11875436797698313
BED,LOVE,0.11875436797698313
HURRY,LOVE,0.10707329240353047
ANIMAL,LOVE,0.10385094052270505
GRANDPA,LOVE,0.1010312326106011
FOOD,LOVE,0.09780888072977567
FRIDGE,LOVE,0.08975300102771233
COW,LOVE,0.07162702167076662
LIKE,LOVE,0.061557122037726675
DOCTOR,LOVE,0.05954310210675007
KICK,LOVE,0.036986438919129894
AUNT,LOVE,0.024902519355113784
DONKEY,LOVE,0.024096831373985994
HAVE,LOVE,0.024096831373985994
GREEN,LOVE,0.01281859979109723
SOFA,LOVE,0.00033183623651700245
DRIVE,LOVE,0.00033183623651700245
COLD,LOVE,0.00033183623651700245
AEROPLANE,SUN,0.7506683729863302
MOON,SUN,0.9531872880518553
POLICE,SUN,0.4679436994519801
PEOPLE,SUN,0.5349154127630737
BEAR,SUN,0.5706069102746021
SKY,SUN,0.9355419611821612
PARTY,SUN,0.44428311571623613
GIRAFFE,SUN,0.5974756443403619
LOVE,SUN,0.9158916153643977
ELEPHANT,SUN,0.6744730524573284
HAPPY,SUN,0.43706472746823954
PARK,SUN,0.5521596958387855
DARK,SUN,0.4887971766516903
OUTSIDE,SUN,0.7494652416043832
MEDICINE,SUN,0.4559129856980384
CHURCH,SUN,0.5429358885990352
FAST,SUN,0.4214246195684568
LION,SUN,0.41621125026852934
SUN,SUN,1.0
SHOW,SUN,0.3969619482447484
BEACH,SUN,0.578226342316581
FRIEND,SUN,0.5305041310511107
NIGHT,SUN,0.6034911012282542
LORRY,SUN,0.5457431951569112
ALL,SUN,0.7334240899106184
BUS,SUN,0.349640580751418
FINISH,SUN,0.33961488594554545
OPEN,SUN,0.349640580751418
HORSE,SUN,0.33640673561552936
HURT,SUN,0.33640673561552936
MONEY,SUN,0.31956349633379966
HOUSE,SUN,0.30913675773394456
KNOW,SUN,0.30913675773394456
BOAT,SUN,0.30833487016782235
GOOD,SUN,0.306329651197911
SCHOOL,SUN,0.31194406429182053
HUG,SUN,0.2967050001860203
SHOP,SUN,0.306329651197911
CAR,SUN,0.2674300033563666
BAD,SUN,0.26341976543838586
MUMMY,SUN,0.2674300033563666
MAN,SUN,0.2553990895805822
GARDEN,SUN,0.2553990895805822
HELP,SUN,0.2553990895805822
SING,SUN,0.24978467648667246
HARD,SUN,0.22893139930880468
KISS,SUN,0.22010863586303642
SMILE,SUN,0.24176420065071103
STAR,SUN,0.23655083135078336
SCARED,SUN,0.19644805212729222
PLAY,SUN,0.19644805212729222
MAKE,SUN,0.17840188148545844
POOL,SUN,0.1848181821454904
HEAR,SUN,0.17278746839154846
SISTER,SUN,0.17920396907342284
PERSON,SUN,0.17278746839154846
BROTHER,SUN,0.1539392101617496
DANCE,SUN,0.14912688465580448
SNOW,SUN,0.1679751428856031
SICK,SUN,0.14631957809792828
GIVE,SUN,0.12947653883804122
FALL,SUN,0.12947653883804122
READ,SUN,0.13348677675602172
CLEAN,SUN,0.11383643093825846
BED,SUN,0.11383643093825846
RAIN,SUN,0.11744562506225686
HURRY,SUN,0.10220656095645664
ANIMAL,SUN,0.09899841062644055
GRANDPA,SUN,0.09619110406856435
RUN,SUN,0.1054147112864725
FOOD,SUN,0.09298295373854848
FRIDGE,SUN,0.08496247790258704
RED,SUN,0.09017584720251448
SLEEP,SUN,0.1054147112864725
SAD,SUN,0.08776958443862082
RIDE,SUN,0.07854597722071244
COW,SUN,0.06691610723891062
STOP,SUN,0.0837593465206401
LIKE,SUN,0.05689041243303783
DOCTOR,SUN,0.05488539348496846
KICK,SUN,0.03242774110932922
PLEASE,SUN,0.04165134832723738
AUNT,SUN,0.020397027355387287
DONKEY,SUN,0.01959493976742266
HAVE,SUN,0.01959493976742266
PRETTY,SUN,0.021198914921509493
GREEN,SUN,0.008366113579603152
PUSH,SUN,0.007564025991638301
AEROPLANE,OUTSIDE,0.6056505370386447
MOON,OUTSIDE,0.7913958204235902
BEAR,OUTSIDE,0.44050270289515625
GIRAFFE,OUTSIDE,0.46514619396438106
LOVE,OUTSIDE,0.7571892850699296
ELEPHANT,OUTSIDE,0.535766105658738
HAPPY,OUTSIDE,0.31802132792900983
DARK,OUTSIDE,0.3654691092267275
OUTSIDE,OUTSIDE,1.0
MEDICINE,OUTSIDE,0.33530841567899206
CHURCH,OUTSIDE,0.4151237315114811
FAST,OUTSIDE,0.3036765614805137
LION,OUTSIDE,0.29889503933829586
BEACH,OUTSIDE,0.4474912660462522
FRIEND,OUTSIDE,0.40372148638631344
NIGHT,OUTSIDE,0.4706633964428917
LORRY,OUTSIDE,0.4176984126666632
ALL,OUTSIDE,0.5898346099394054
BUS,OUTSIDE,0.23783817192837464
FINISH,OUTSIDE,0.22864276779024273
OPEN,OUTSIDE,0.23783817192837464
HORSE,OUTSIDE,0.22570024646691422
HURT,OUTSIDE,0.22570024646691422
MONEY,OUTSIDE,0.21025215953582133
HOUSE,OUTSIDE,0.20068911525138566
KNOW,OUTSIDE,0.20068911525138566
BOAT,OUTSIDE,0.19995343491509288
GOOD,OUTSIDE,0.19811443409620333
HUG,OUTSIDE,0.1892868701262178
CAR,OUTSIDE,0.16243653806995728
BAD,OUTSIDE,0.1587585364321784
MUMMY,OUTSIDE,0.16243653806995728
MAN,OUTSIDE,0.15140213311293604
GARDEN,OUTSIDE,0.15140213311293604
HELP,OUTSIDE,0.15140213311293604
HARD,OUTSIDE,0.12712668223369983
KISS,OUTSIDE,0.11903479860000732
MAKE,OUTSIDE,0.08078222141857894
HEAR,OUTSIDE,0.07563285910821471
BROTHER,OUTSIDE,0.05834577135823227
DANCE,OUTSIDE,0.05393188936231841
GIVE,OUTSIDE,0.0359091212760434
FALL,OUTSIDE,0.0359091212760434
CLEAN,OUTSIDE,0.02156435482754704
BED,OUTSIDE,0.02156435482754704
HURRY,OUTSIDE,0.010897790038672195
ANIMAL,OUTSIDE,0.007955468737186111
GRANDPA,OUTSIDE,0.0053807875820039985
FOOD,OUTSIDE,0.002438266258675492
FRIDGE,OUTSIDE,0.08593158372894316
AEROPLANE,ALL,0.5909279293298828
ALL,ALL,1.0
AEROPLANE,ELEPHANT,0.5368224210083741
BEAR,ELEPHANT,0.37875295982321266
ELEPHANT,ELEPHANT,1.0
DARK,ELEPHANT,0.30693511731481093
CHURCH,ELEPHANT,0.354461507196586
BEACH,ELEPHANT,0.38544169023257346
ALL,ELEPHANT,0.5216843679329783
BUS,ELEPHANT,0.18477457738385028
BOAT,ELEPHANT,0.1485136176870514
CAR,ELEPHANT,0.11260469643285065
BAD,ELEPHANT,0.10908431200687119
BROTHER,ELEPHANT,0.012975216893684749
DANCE,ELEPHANT,0.008750555560667284
AEROPLANE,NIGHT,0.4716747068779912
MOON,NIGHT,0.6419234980459867
BEAR,NIGHT,0.320305177325364
GIRAFFE,NIGHT,0.3428926438767115
LOVE,NIGHT,0.610570874339478
ELEPHANT,NIGHT,0.4076207121817703
HAPPY,NIGHT,0.2080421181993073
DARK,NIGHT,0.2515312672143799
MEDICINE,NIGHT,0.22388704846569252
CHURCH,NIGHT,0.29704343714333614
FAST,NIGHT,0.1948940824338019
LION,NIGHT,0.19051140384529996
BEACH,NIGHT,0.32671047678406473
FRIEND,NIGHT,0.28659249590055236
NIGHT,NIGHT,1.0
LORRY,NIGHT,0.29940329483979666
ALL,NIGHT,0.457178323872967
BUS,NIGHT,0.13454849269540237
FINISH,NIGHT,0.12612037234466
HORSE,NIGHT,0.12342327782193818
HURT,NIGHT,0.12342327782193818
MONEY,NIGHT,0.1092641316431755
HOUSE,NIGHT,0.10049877446617184
KNOW,NIGHT,0.10049877446617184
BOAT,NIGHT,0.09982450083549144
GOOD,NIGHT,0.09813891676971132
HUG,NIGHT,0.09004783322338805
CAR,NIGHT,0.06543774580184158
BAD,NIGHT,0.062066377648439364
MUMMY,NIGHT,0.06543774580184158
MAN,NIGHT,0.0553238413634769
GARDEN,NIGHT,0.0553238413634769
HELP,NIGHT,0.0553238413634769
HARD,NIGHT,0.033073611638390954
KISS,NIGHT,0.025656801722748312
AEROPLANE,GIRAFFE,0.4661537039844752
BEAR,GIRAFFE,0.315351836420537
GIRAFFE,GIRAFFE,1.0
ELEPHANT,GIRAFFE,0.4023401355428011
DARK,GIRAFFE,0.2468361545080724
CHURCH,GIRAFFE,0.29217750578363155
FAST,GIRAFFE,0.19041139292410736
BEACH,GIRAFFE,0.3217333332799941
FRIEND,GIRAFFE,0.2817657688219555
ALL,GIRAFFE,0.4517117269205797
BUS,GIRAFFE,0.1302920278894455
FINISH,GIRAFFE,0.12189551098980012
BOAT,GIRAFFE,0.0956982502489272
CAR,GIRAFFE,0.06144050930361589
BAD,GIRAFFE,0.05808174252628384
GARDEN,GIRAFFE,0.051364609015304374
AEROPLANE,BEACH,0.4484865747339608
BEACH,BEACH,1.0
ALL,BEACH,0.4342186166729407
BAD,BEACH,0.04533115016159761
AEROPLANE,BEAR,0.44149341108049
BEAR,BEAR,1.0
BEACH,BEAR,0.2995017055862501
ALL,BEAR,0.42729426053325037
BAD,BEAR,0.04028419903453462
AEROPLANE,TREE,0.44149341108049
MOON,TREE,0.6082512210333368
POLICE,TREE,0.20869298927442892
PEOPLE,TREE,0.26383861117634044
BEAR,TREE,0.2932276204561539
SKY,TREE,0.5937218344243191
PARTY,TREE,0.1892102617605842
GIRAFFE,TREE,0.315351836420537
LOVE,TREE,0.5775412675064118
ELEPHANT,TREE,0.37875295982321266
HAPPY,TREE,0.18326661271410827
PARK,TREE,0.2780377617235801
DARK,TREE,0.22586406435582762
OUTSIDE,TREE,0.44050270289515625
MEDICINE,TREE,0.19878650748661753
CHURCH,TREE,0.2704429323682147
FAST,TREE,0.17038820639213803
TREE,TREE,1.0
TRAIN,TREE,0.19878650748661753
LION,TREE,0.16609533761086714
SUN,TREE,0.5706069102746021
SHOW,TREE,0.15024520677658004
BEACH,TREE,0.2995017055862501
FRIEND,TREE,0.26020621451862547
NIGHT,TREE,0.320305177325364
LORRY,TREE,0.27275438477881786
ALL,TREE,0.42729426053325037
BUS,TREE,0.11127995177073347
FINISH,TREE,0.10302465029181196
OPEN,TREE,0.11127995177073347
HORSE,TREE,0.10038296181943074
HURT,TREE,0.10038296181943074
MONEY,TREE,0.08651404733396895
HOUSE,TREE,0.0779285097932696
KNOW,TREE,0.0779285097932696
BOAT,TREE,0.07726803766971346
GOOD,TREE,0.0756168573608238
SCHOOL,TREE,0.08023996220387275
HUG,TREE,0.06769179194368014
SHOP,TREE,0.0756168573608238
CAR,TREE,0.04358615960862933
BAD,TREE,0.04028419903453462
MUMMY,TREE,0.04358615960862933
MAN,TREE,0.033679877842660355
GARDEN,TREE,0.033679877842660355
HELP,TREE,0.033679877842660355
