source,target,weight
WATER,WATER,1.0
PARTY,WATER,0.11874375792744507
MEDICINE,WATER,0.14367405628947982
RABBIT,WATER,0.0924779631739141
BROTHER,WATER,0.02458754573218247
MUMMY,WATER,0.21045156007163124
NICE,WATER,0.20110267237618218
BOOK,WATER,0.058421566325834284
OPEN,WATER,0.03571730176044752
OUTSIDE,WATER,0.0786774208401444
PARK,WATER,0.03616246722427996
PIZZA,WATER,0.11295640042014021
SMILE,WATER,0.3956476197378438
BED,WATER,0.11206606949247622
PLAY,WATER,0.22647813620204893
BEACH,WATER,0.06977369860852756
PLEASE,WATER,0.09915585808637095
PRETTY,WATER,0.24717915618019126
PUPPY,WATER,0.2540794273470759
READ,WATER,0.04662426857930879
SING,WATER,0.16125871154330973
SKY,WATER,0.07934516903589262
BUTTERFLY,WATER,0.1258668183037337
CAKE,WATER,0.13833186424600719
LOVE,WATER,0.47221897020178827
LIKE,WATER,0.18819225449258892
GENTLE,WATER,0.15280036125301266
GARDEN,WATER,0.06509925476080292
GIVE,WATER,0.11963408885510907
FRIEND,WATER,0.3820694536585023
GOOD,WATER,0.3620361818761082
FOOD,WATER,0.24050126126773463
FLOWER,WATER,0.25875387119480053
FINISH,WATER,0.02926198957990711
GRANDMA,WATER,0.1906408710211529
FAST,WATER,0.061092559108826494
GRANDPA,WATER,0.04818234770272123
HAPPY,WATER,0.3820694536585023
DOG,WATER,0.12052462626026106
DINNER,WATER,0.04194982473158437
HUG,WATER,0.37405626883203746
DANCE,WATER,0.0786774208401444
CUDDLE,WATER,0.334657473462997
KISS,WATER,0.30905942690521404
KITTEN,WATER,0.08602285747086125
SLEEP,WATER,0.2743352818613862
CLEAN,WATER,0.12519886363049793
TREE,WATER,0.06977369860852756
STAR,WATER,0.18195973152145206
SUN,WATER,0.21000639460779924
SOFT,WATER,0.0924779631739141
TICKLE,WATER,0.04996300955804922
SWEETS,WATER,0.04662426857930879
KNOW,WATER,0.015238864514221406
BABY,WATER,0.015238864514221406
LADY,WATER,0.01011925520266499
BATH,WATER,0.004999645891108351
EAT,WATER,0.00077036750721593
MOON,WATER,0.004999645891108351
PARTY,PARTY,1.0
MEDICINE,PARTY,0.18528794214831157
RABBIT,PARTY,0.13232894424137376
BROTHER,PARTY,0.06210078868206037
MUMMY,PARTY,0.2543649857127903
NICE,PARTY,0.24469419961376326
BOOK,PARTY,0.09709975526223347
OPEN,PARTY,0.07361356045031076
OUTSIDE,PARTY,0.11805309073054415
PARK,PARTY,0.0740740052482447
BED,PARTY,0.15259161251278353
BEACH,PARTY,0.10884274942945105
BUTTERFLY,PARTY,0.16686746602361313
CAKE,PARTY,0.17976177866315313
LOVE,PARTY,0.5251465835305711
LIKE,PARTY,0.23133923569880133
GENTLE,PARTY,0.19472850584837165
GARDEN,PARTY,0.1040074596186813
GIVE,PARTY,0.16042020646509902
FRIEND,PARTY,0.4318926779572687
GOOD,PARTY,0.4111695648879252
FOOD,PARTY,0.28544955207806155
FLOWER,PARTY,0.30433067947818193
FINISH,PARTY,0.0669360784928299
GRANDMA,PARTY,0.23387209504241357
FAST,PARTY,0.09986283700481269
GRANDPA,PARTY,0.08650787308985097
HAPPY,PARTY,0.4318926779572687
DOG,PARTY,0.1613413025384547
DINNER,PARTY,0.08006061353133687
HUG,PARTY,0.42360343272953105
DANCE,PARTY,0.11805309073054415
CUDDLE,PARTY,0.38284808026523276
KISS,PARTY,0.35636858131176385
KITTEN,PARTY,0.1256514622838929
CLEAN,PARTY,0.16617659234922444
KNOW,PARTY,0.05243000258303332
BABY,PARTY,0.05243000258303332
LADY,PARTY,0.04713406149684207
BATH,PARTY,0.041838120410650825
EAT,PARTY,0.03746327539781502
GIRL,PARTY,0.030785793440334164
MOON,PARTY,0.041838120410650825
PARTY,SMILE,0.44593830906913134
MEDICINE,SMILE,0.4777608259760242
RABBIT,SMILE,0.41241111402244357
BROTHER,SMILE,0.32575189293398954
MUMMY,SMILE,0.5629994819479829
NICE,SMILE,0.5510661155369561
BOOK,SMILE,0.3689395502053108
OPEN,SMILE,0.33995837000889706
OUTSIDE,SMILE,0.39479528066794645
PARK,SMILE,0.3405265960554953
PIZZA,SMILE,0.43855095750837836
SMILE,SMILE,1.0
BED,SMILE,0.4374145054151817
PLAY,SMILE,0.5834566520129594
BEACH,SMILE,0.38342993382602986
PLEASE,SMILE,0.42093512415388123
PRETTY,SMILE,0.609880814999681
PUPPY,SMILE,0.6186887316769296
READ,SMILE,0.3538805275830179
SING,SMILE,0.5002069936815823
SKY,SMILE,0.3956476197378438
BUTTERFLY,SMILE,0.455030545247167
CAKE,SMILE,0.47094170046186945
LOVE,SMILE,0.8971349803216631
LIKE,SMILE,0.5345865277981674
GENTLE,SMILE,0.4894100793637519
GARDEN,SMILE,0.37746335385926044
GIVE,SMILE,0.4470749676398156
FRIEND,SMILE,0.7820628050833931
GOOD,SMILE,0.7564911876440568
FOOD,SMILE,0.6013568048682436
FLOWER,SMILE,0.624655518121187
FINISH,SMILE,0.33171847290075895
GRANDMA,SMILE,0.5377119775319459
FAST,SMILE,0.3723489064849004
GRANDPA,SMILE,0.3558695252235997
HAPPY,SMILE,0.7820628050833931
DOG,SMILE,0.44821141973301226
DINNER,SMILE,0.3479139476162485
HUG,SMILE,0.771834116812161
DANCE,SMILE,0.39479528066794645
CUDDLE,SMILE,0.7215434274808734
KISS,SMILE,0.6888685715040832
KITTEN,SMILE,0.40417142339179324
SLEEP,SMILE,0.6445444621395653
CLEAN,SMILE,0.45417820617726967
KNOW,SMILE,0.3138185265229625
BABY,SMILE,0.3138185265229625
LADY,SMILE,0.30728351403210685
BATH,SMILE,0.3007485015412512
EAT,SMILE,0.2953501476210798
GIRL,SMILE,0.2871102505129417
BISCUIT,SMILE,0.24250202812512445
MOON,SMILE,0.3007485015412512
BIRD,SMILE,0.22488619477062732
PLANT,SMILE,0.2913723588174044
BALLOON,SMILE,0.2052811572980604
AUNT,SMILE,0.2035764791582657
ANIMAL,SMILE,0.2035764791582657
LAMB,SMILE,0.20187159454098302
CHIPS,SMILE,0.2001669164011881
CHILD,SMILE,0.2001669164011881
PENGUIN,SMILE,0.26210706559769137
SISTER,SMILE,0.258697502840614
APPLE,SMILE,0.18681277839617771
CAREFUL,SMILE,0.18681277839617771
HOUSE,SMILE,0.18169853749930565
DOCTOR,SMILE,0.17857308776552738
PILLOW,SMILE,0.24250202812512445
PEOPLE,SMILE,0.23966089789213307
MAKE,SMILE,0.23710367420495326
POOL,SMILE,0.23710367420495326
HEAR,SMILE,0.17004928411157794
HORSE,SMILE,0.1635142716207223
GREEN,SMILE,0.1635142716207223
HAVE,SMILE,0.1618095934809276
PONY,SMILE,0.2203399734428655
CHEESE,SMILE,0.1544222419201744
DRAW,SMILE,0.15328558334949016
CAR,SMILE,0.15328558334949016
KEY,SMILE,0.14504589271883983
HEAD,SMILE,0.1368062020881895
AEROPLANE,SMILE,0.12828219195675183
CAT,SMILE,0.12771396591015383
ELEPHANT,SMILE,0.1274298528868545
LUNCH,SMILE,0.1882335499901615
PICTURE,SMILE,0.17857308776552738
BANANA,SMILE,0.11265514976534874
BICYCLE,SMILE,0.11151869767215206
COFFEE,SMILE,0.11151869767215206
BREAKFAST,SMILE,0.10441545913469819
RADIO,SMILE,0.1618095934809276
MONKEY,SMILE,0.16124116095684138
DEER,SMILE,0.09930121823782612
