source,target,weight
AEROPLANE,AEROPLANE,1.0
AEROPLANE,PRETTY,0.14267932390720972
LADY,PRETTY,0.09224857621304228
LAMP,PRETTY,0.6974160225120096
FACE,PRETTY,0.9485605457900874
CHAIR,PRETTY,0.3312896386561972
LION,PRETTY,0.8184496135072061
PEN,PRETTY,0.18780151829914615
EYE,PRETTY,0.5999168821761609
EMPTY,PRETTY,0.031731780715444025
DOLL,PRETTY,0.09224857621304228
DONKEY,PRETTY,0.48560749260892333
ELEPHANT,PRETTY,0.3312896386561972
LAMB,PRETTY,0.27379896270583615
PENGUIN,PRETTY,0.43416803839900986
BATHROOM,PRETTY,0.6913642920945486
BOOK,PRETTY,0.48560749260892333
KEY,PRETTY,0.27379896270583615
DINNER,PRETTY,0.031731780715444025
DIRTY,PRETTY,0.22841123891338455
SOFA,PRETTY,0.0795082517584964
KITCHEN,PRETTY,0.42845254348679784
ANIMAL,PRETTY,0.5427624417310488
DOG,PRETTY,0.576382431516814
BLUE,PRETTY,0.43416803839900986
KITTEN,PRETTY,0.24194815156947147
KNEE,PRETTY,0.22841123891338455
CRY,PRETTY,0.0355143029802365
OWL,PRETTY,0.6368992270144114
MILK,PRETTY,0.08552437478508423
OUTSIDE,PRETTY,0.4043875427034349
BEDROOM,PRETTY,0.5158661446962283
MONEY,PRETTY,0.31414315391956027
NOSE,PRETTY,0.21616382248393062
MOON,PRETTY,0.771381220865524
CLEAN,PRETTY,0.678504937219083
BABY,PRETTY,0.3631333283143867
MOTORCYCLE,PRETTY,0.16411242982800633
MOUSE,PRETTY,0.05035241143424596
BEE,PRETTY,0.48560749260892333
NIGHT,PRETTY,0.7428037463044612
BIRD,PRETTY,0.09466937011542864
ME,PRETTY,0.08243517928830002
LIVING ROOM,PRETTY,0.48560749260892333
CLOCK,PRETTY,0.29609427616278516
PARTY,PRETTY,0.6974160225120096
BEACH,PRETTY,0.42845254348679784
DUCK,PRETTY,0.4043875427034349
PARK,PRETTY,0.09224857621304228
DRIVE,PRETTY,0.08552437478508423
CHILD,PRETTY,0.17697178470347197
PAPER,PRETTY,0.29609427616278516
BEAR,PRETTY,0.29609427616278516
CHURCH,PRETTY,0.22841123891338455
LOOK,PRETTY,0.1998337643523218
BED,PRETTY,0.0795082517584964
DOOR,PRETTY,0.6368992270144114
DRAW,PRETTY,0.0355143029802365
MAN,PRETTY,0.031731780715444025
BISCUIT,PRETTY,0.1998337643523218
PENNY,PRETTY,0.4553493491986309
PLANT,PRETTY,0.272322782015622
FORK,PRETTY,0.08552437478508423
POLICE,PRETTY,0.37129810304168487
FOOT,PRETTY,0.0795082517584964
