source,target,weight
AEROPLANE,AEROPLANE,1.0
AEROPLANE,BREAKFAST,1.0
HARD,HEAD,1.0
HAND,HEAD,1.0
HEAD,HEAD,1.0
HAVE,HEAD,1.0
GOOD,HEAD,1.0
HAIR,HEAD,1.0
FALL,HEAD,1.0
FAST,HEAD,1.0
FACE,HEAD,1.0
FISH,HEAD,1.0
GIRL,HEAD,1.0
FROG,HEAD,1.0
GIVE,HEAD,1.0
FOOD,HEAD,1.0
FOOT,HEAD,1.0
FORK,HEAD,1.0
HARD,HARD,1.0
HAND,HARD,1.0
GOOD,HARD,1.0
HAIR,HARD,1.0
FALL,HARD,1.0
FAST,HARD,1.0
FACE,HARD,1.0
FISH,HARD,1.0
GIRL,HARD,1.0
FROG,HARD,1.0
GIVE,HARD,1.0
FOOD,HARD,1.0
FOOT,HARD,1.0
FORK,HARD,1.0
HARD,HAVE,1.0
HAND,HAVE,1.0
HAVE,HAVE,1.0
GOOD,HAVE,1.0
HAIR,HAVE,1.0
FALL,HAVE,1.0
FAST,HAVE,1.0
FACE,HAVE,1.0
FISH,HAVE,1.0
GIRL,HAVE,1.0
FROG,HAVE,1.0
GIVE,HAVE,1.0
FOOD,HAVE,1.0
FOOT,HAVE,1.0
FORK,HAVE,1.0
HARD,HEAR,1.0
HAND,HEAR,1.0
HEAD,HEAR,1.0
HAVE,HEAR,1.0
HEAR,HEAR,1.0
GOOD,HEAR,1.0
HAIR,HEAR,1.0
FALL,HEAR,1.0
FAST,HEAR,1.0
FACE,HEAR,1.0
FISH,HEAR,1.0
GIRL,HEAR,1.0
FROG,HEAR,1.0
GIVE,HEAR,1.0
FOOD,HEAR,1.0
FOOT,HEAR,1.0
FORK,HEAR,1.0
HARD,HELP,1.0
HAND,HELP,1.0
HEAD,HELP,1.0
HAVE,HELP,1.0
HEAR,HELP,1.0
GOOD,HELP,1.0
HAIR,HELP,1.0
HELP,HELP,1.0
FALL,HELP,1.0
FAST,HELP,1.0
FACE,HELP,1.0
FISH,HELP,1.0
GIRL,HELP,1.0
FROG,HELP,1.0
GIVE,HELP,1.0
FOOD,HELP,1.0
FOOT,HELP,1.0
FORK,HELP,1.0
HARD,SAME,1.0
