BOY/LADDIE,BOY
BABY/BAIRN/WEE ONE,BABY
BABY/BAIRN/WEEONE,BABY
PLANE/AIRPLANE/AEROPLANE,AEROPLANE
GIRL/LASSIE,GIRL
TEA/BREW,TEA
DIRTY/MUCKY,DIRTY
CRY/BLUB/WEEP,CRY
EAR/TAB,EAR
POTATO/SPUD/TATTIE,POTATO
TROUSERS/PANTS/BRITCHES,TROUSERS
DOG/DOGGIE,DOG
CAT/PUSSY CAT,CAT
POLICE/POLICEMAN,POLICE
PEOPLE/FOLK,PEOPLE
SANDWICH/BUTTY,SANDWICH
SHUT/CLOSE,CLOSE
TOOTH/TEETH,TOOTH
DUMMY/DODIE/SOOTHER,DUMMY
COMPUTER/LAPTOP,COMPUTER
YES/YEAH/AYE,YES
AUNT/AUNTIE,AUNT
MUM/MUMMY/MAMMA,MUMMY
MUM/MUMMY/MAM/MA,MUMMY
GRANDMA/NAN/GRANNY/NANNY,GRANDMA
MUMMY/MUM,MUMMY
GRANDPA/GRANDAD,GRANDPA
LIGHT/LAMP,LIGHT
LAMP/LIGHT,LIGHT
HELLO/HI/HIYA,HELLO
DAD/DADDY/DA,DADDY
BUTTER/SPREAD/MARGE,BUTTER
PACIFIER,DUMMY
BAABAA,BAA BAA
CHOOCHOO,CHOO CHOO
BUG/BEASTIE,BUG
BUNNY/RABBIT,RABBIT
KITTEN/KITTY,KITTEN
TWEET-TWEET,TWEET TWEET
FIRE-ENGINE,FIRE ENGINE
AEROPLANE/PLANE,AEROPLANE
BICYCLE/BIKE,BICYCLE
PUSHCHAIR/BUGGY,PUSHCHAIR
PUSHCHAIR/BUGGY/STROLLER,PUSHCHAIR
LORRY/TRUCK,LORRY
MOTOR-BIKE,MOTORBIKE
BLOCK/BRICK,BLOCK
PASTA/SPAGHETTI,SPAGHETTI
BELLY BUTTON/TUMMY BUTTON,BELLY BUTTON
BELLY/TUMMY,TUMMY
GLASSES/SPECS,GLASSES
BATH/BATHTUB,BATH
BUTTOCKS/BUM/BOTTOM,BOTTOM
JUMPER/SWEATER,JUMPER
COOKER/STOVE/OVEN,OVEN
PYJAMAS/PJS/JIM JAMS,PYJAMAS
OVEN/COOKER,OVEN
REFRIGERATOR/FRIDGE,FRIDGE
REFRIGERATOR,FRIDGE
SETTEE/SOFA,SOFA
SETTEE/SOFA/COUCH,SOFA
TV/TELEVISION,TV
TOILET/LAV/LOO,TOILET
TELEVISION/TELLY/TV,TV
HOOVER/VACUUM,HOOVER
SHH/HUSH/SHUSH,SHH
SHH/HUSH,SHH
HUSH/SHH,SHH
CHEWING GUM/BUBBLE GUM,CHEWING GUM
HAMBURGER/BURGER,BURGER
MUFFIN/BUN,BUN
LOLLIPOP/LOLLY,LOLLY
TOMATO SAUCE/KETCHUP,KETCHUP
PANTS/UNDERPANTS,UNDERPANTS
BATHTUB/BATH,BATH
LIVING ROOM/LOUNGE/DINING ROOM,LIVING ROOM
TV/TELEVISION/TELLY,TV
WASHING MACHINE/WASHER,WASHING MACHINE
TELEPHONE/PHONE,PHONE
ROCK/STONE,STONE
SHOVEL/SPADE,SPADE
CINEMA/PICTURES,CINEMA
GRANDMA/GRANNY/NANNA,GRANDMA
DADDY/DAD,DADDY
NAP/SLEEP,SLEEP
SOFA/SETTEE,SOFA
PEEKABOO/PEEPO,PEEKABOO
THANK YOU/TA,THANK YOU
TEA (MEAL),DINNER
GOODNIGHT/NIGHT NIGHT,GOODNIGHT
DON'T/DINNAE,DON'T
BYE/BYE BYE/CHEERIO,BYE BYE
PHONE/TELEPHONE/MOBILE,PHONE
TEA/BREW (DRINK),TEA (DRINK)
TEDDY/TEDDY BEAR,TEDDY
(CALL ON) PHONE,PHONE (VERB)
TELEVISION,TV
TEDDY BEAR,TEDDY
AIRPLANE,AEROPLANE
BACK (PREPOSITION),BACK (PLACE)
BATHTUB,BATH (FURNITURE)
BLOCKS,BLOCK
BUNNY,RABBIT
BYE,BYE BYE
CARROT,CARROTS
CHICKEN (FOOD),CHICKEN
CLEAN (DESCRIPTION),CLEAN
COUCH,SOFA
CRIB,COT
DIAPER,NAPPY
DRINK (BEVERAGE),DRINK
FIRETRUCK,FIRE ENGINE
FIRE TRUCK,FIRE ENGINE
FISH (ANIMAL),FISH
FRENCH FRIES,CHIPS
GOOD NIGHT,GOODNIGHT
GRRR,GRR
HURT (DESCRIPTION),HURT
KITTY,KITTEN
MOMMY,MUMMY
OPEN (ACTION),OPEN
PAJAMAS,PYJAMAS
PANTS,TROUSERS
QUACK QUACK,QUACK
SHOE,SHOES
STORE,SHOP
STOVE,COOKER
STROLLER,PUSHCHAIR
SWEATER,JUMPER
TEA,TEA (DRINK)
TEDDYBEAR,TEDDY
TELEPHONE,PHONE
TRASH,RUBBISH
TRUCK,LORRY
UH OH,UHOH
VACUUM,HOOVER
WANNA,WANT TO
WATER (BEVERAGE),WATER
WATER (NOT BEVERAGE),WATER (OUTSIDE)
WET (DESCRIPTION),WET
WHEN (QUESTION),WHEN
WHERE (QUESTION),WHERE
WOOF WOOF,WOOF
YUM YUM,YUM
ZIPPER,ZIP

