A_AN,A
ALOT,A LOT
AEROPLANE / PLANE,AEROPLANE
PLANE/AIRPLANE/AEROPLANE,AEROPLANE
AEROPLANE/PLANE,AEROPLANE
AIRPLANE,AEROPLANE
AGEING,AGING
AHAH,AH HA
(ALL)GONE,ALL GONE
ALUMINUM,ALUMINIUM
ANALYZE,ANALYSE
ANGRY_CROSS,ANGRY
MAD,ANGRY
ANY(THING),ANYTHING
ATALL,AT ALL
EGGPLANT,AUBERGINE
AUNT/AUNTIE,AUNT
BAABAA,BAA BAA
BABY/BAIRN/WEE ONE,BABY
BABY/BAIRN/WEEONE,BABY
BABYSITTER'S NAME,BABYSITTERNAME
(FOOT)BALL,BALL
BATH/BATHTUB,BATH
BATHTUB/BATH,BATH
BATH / BATHTUB,BATH (FURNITURE)
BATHTUB,BATH (FURNITURE)
BEHAVIOR,BEHAVIOUR
BELLY BUTTON / TUMMY BUTTON,BELLY BUTTON
BELLY BUTTON/TUMMY BUTTON,BELLY BUTTON
BICYCLE,BICYCLE
BICYCLE / BIKE,BICYCLE
BIKE_BICYCLE,BICYCLE
BICYCLE/BIKE,BICYCLE
DUSTBIN,BIN
COOKIE,BISCUIT
BLOCK / BRICK,BLOCK
BLOCK/BRICK,BLOCK
BOOT(S),BOOTS
BOOTS_WELLIES,BOOTS
BUTTOCKS/BOTTOM*,BOTTOM
BUTTOCKS/BUM/BOTTOM,BOTTOM
BOY/LADDIE,BOY
BUG/BEASTIE,BUG
MUFFIN,BUN
MUFFIN/BUN,BUN
HAMBURGER,BURGER
HAMBURGER/BURGER,BURGER
BUTTER/SPREAD/MARGE,BUTTER
BYE,BYE BYE
BYE BYE,BYE BYE
BYE/BYE BYE/CHEERIO,BYE BYE
CAN (OBJECT),CAN
CAN (AUXILIARY),CAN (AUX)
CARROT,CARROT
CARROT_CARROTS,CARROT
CARROTS,CARROT
CAT/PUSSY CAT,CAT
CENTIMETER,CENTIMETRE
CENTER,CENTRE
CHARACTERIZE,CHARACTERISE
GUM,CHEWING GUM
CHEWING GUM/BUBBLE GUM,CHEWING GUM
CHICKEN,CHICKEN (FOOD)
CHICKEN (FOOD),CHICKEN (FOOD)
CHILD'S OWN NAME,CHILDSOWNNAME
CHILDSOWNNAME,CHILDSOWNNAME
FRENCH FRIES,CHIPS
CHOOCHOO,CHOO CHOO
CHURCH*,CHURCH
MASS,CHURCH
CINEMA/PICTURES,CINEMA
CIRCUS_SORCAS_IE,CIRCUS
CITY_TOWN,CITY
CIVILIZATION,CIVILISATION
CLEAN (DESCRIPTION),CLEAN
SHUT / CLOSE,CLOSE
SHUT/CLOSE,CLOSE
ROOSTER,COCKEREL
COLOR,COLOUR
COLORS,COLOURS
CMERE,COME HERE
COMPUTER/LAPTOP,COMPUTER
COZY,COSY
CRIB,COT
ZUCCHINI,COURGETTE
CRAYON_CRIÁN,CRAYON
CRISPS_TAYTOS,CRISPS
POTATO CHIP,CRISPS
CHIPS,CRISPS
CRITICIZE,CRITICISE
CRY/BLUB/WEEP,CRY
CUCUMBER_CÚCAMAR,CUCUMBER
CUPBOARD_PRESS,CUPBOARD
DADDY*,DADDY
DAD/DADDY/DA,DADDY
DADDY/DAD,DADDY
DID/DID YA,DID
DIDN_T,DIDNT
TEA (MEAL),DINNER
DIRTY/MUCKY,DIRTY
DOG/DOGGIE,DOG
DON'T/DINNAE,DON'T
DONUT_IE,DOUGHNUT
DONUT,DOUGHNUT
DRESS (OBJECT),DRESS
DRESS,DRESS (ACTION)
DRINK (ACTION),DRINK (ACTION)
DRY (DESCRIPTION),DRY
DUMMY/DODIE/SOOTHER,DUMMY
PACIFIER,DUMMY
EAR/TAB,EAR
EMPHASIZE,EMPHASISE
FIBER,FIBRE
FIND_GET,FIND
FIRE-ENGINE,FIRE ENGINE
FIRE TRUCK,FIRE ENGINE
FIRETRUCK,FIRE ENGINE
FISH (ANIMAL),FISH
FISH (FOOD),FISH (FOOD)
APARTMENT,FLAT
SOCCER,FOOTBALL
REFRIGERATOR / FRIDGE,FRIDGE
REFRIGERATOR/FRIDGE,FRIDGE
REFRIGERATOR,FRIDGE
YARD,GARDEN
GIRL/LASSIE,GIRL
GIVE_BRING,GIVE
GLASSES / SPECS,GLASSES
GLASSES/SPECS,GLASSES
GLOVES_MITTENS,GLOVES
GLIÚ_GLUE_IE,GLUE
GONNA/GOING TO,GONNA
GONNA GET YOU!,GONNAGETYOU
GOODNIGHT/NIGHT NIGHT,GOODNIGHT
GOTTA/GOT TO,GOT TO
GRANDMA*,GRANDMA
GRANNY,GRANDMA
GRANDMA/NAN/GRANNY/NANNY,GRANDMA
GRANDMA/GRANNY/NANNA,GRANDMA
GRANDAD,GRANDPA
GRANDPA*,GRANDPA
